광역	광역코드	시군구	선거인수	투표수	유효투표수	무효투표수	기권수	가자희망2080	공화당	구국총연합	국민통합21	기독당	노년권익보호당	녹색사민당	민주노동당	민주화합당	사회당	새천년민주당	열린우리당	자민련	한나라당
서울특별시	1100	종로구	137653	88125	87308	817	49528	43	99	14	249	802	132	213	10349	86	117	8374	31439	1745	33646
서울특별시	1100	중구	106012	65628	64896	732	40384	57	61	19	242	541	76	138	6281	60	86	7363	24071	1309	24592
서울특별시	1100	용산구	182403	111594	110621	973	70809	63	51	19	516	1441	140	290	12570	103	95	9170	38512	2393	45258
서울특별시	1100	성동구	262021	161933	160453	1480	100088	472	107	30	605	1674	228	383	19571	154	177	15337	62335	2945	56435
서울특별시	1100	광진구	291768	178795	177335	1460	112973	95	80	41	500	1944	253	645	22391	148	162	17343	69344	3292	61097
서울특별시	1100	동대문구	298000	186434	184554	1880	111566	170	166	34	775	1912	223	421	22653	199	233	16067	70099	4111	67491
서울특별시	1100	중랑구	330121	191138	189308	1830	138983	180	121	55	786	2095	280	553	22601	151	205	14503	75694	4590	67494
서울특별시	1100	성북구	351787	213920	211902	2018	137867	196	105	39	814	2517	322	613	27325	214	247	18232	82669	4412	74197
서울특별시	1100	강북구	281387	166362	164681	1681	115025	135	139	23	768	1946	291	575	21493	207	159	17518	64913	3567	52947
서울특별시	1100	도봉구	278907	172829	171350	1479	106078	130	87	27	575	2070	267	574	23317	132	152	13039	65620	4381	60979
서울특별시	1100	노원구	458063	296104	293711	2393	161959	271	153	63	1149	4673	473	800	42839	259	353	23343	111758	5329	102248
서울특별시	1100	은평구	361993	217173	215193	1980	144820	341	349	73	962	2876	321	769	27419	220	249	17322	86735	4749	72808
서울특별시	1100	서대문구	274126	172926	171146	1780	101200	122	89	28	650	2216	235	452	23125	125	214	13191	67471	3308	59920
서울특별시	1100	마포구	298654	185586	184012	1574	113068	257	95	40	585	2451	263	655	25830	138	308	14981	70677	3674	64058
서울특별시	1100	양천구	353003	225336	223577	1759	127667	152	99	51	623	3195	303	681	26931	191	209	18909	85715	4897	81621
서울특별시	1100	강서구	405394	249160	246872	2288	156234	168	143	53	640	3953	370	781	32743	208	265	20295	95333	5391	86529
서울특별시	1100	구로구	315195	201460	199639	1821	113735	187	170	204	631	2852	259	569	27272	176	195	15595	78520	5253	67756
서울특별시	1100	금천구	197115	118150	117049	1101	78965	66	64	20	538	1775	188	428	16266	139	135	10863	46507	3294	36766
서울특별시	1100	영등포구	312684	197985	196200	1785	114699	96	100	40	648	2564	284	508	23312	168	203	17840	74041	4958	71438
서울특별시	1100	동작구	321397	205586	204056	1530	115811	196	94	31	646	2983	312	1202	27642	173	235	17879	78196	4735	69732
서울특별시	1100	관악구	417760	256780	254560	2220	160980	133	145	38	871	3207	353	870	40853	256	317	25137	102493	5865	74022
서울특별시	1100	서초구	303515	196218	195037	1181	107297	125	172	35	662	2076	264	375	17889	113	126	12899	60505	3654	96142
서울특별시	1100	강남구	400374	246937	245465	1472	153437	145	83	29	664	2654	608	497	22239	92	201	15843	71393	4130	126887
서울특별시	1100	송파구	457391	290110	287937	2173	167281	174	127	27	939	3660	620	791	31582	197	227	24022	104749	5210	115612
서울특별시	1100	강동구	353627	222632	220708	1924	130995	140	125	41	796	3369	349	542	26954	171	221	17978	83167	4309	82546
부산광역시	2600	중구	43987	26530	26221	309	17457	14	18	8	68	167	45	116	2593	21	48	599	8025	147	14352
부산광역시	2600	서구	113920	68635	67667	968	45285	550	55	20	171	565	110	221	6607	57	253	1812	20315	397	36534
부산광역시	2600	동구	94029	58069	57212	857	35960	46	40	14	150	439	91	445	6315	66	139	1210	17671	353	30233
부산광역시	2600	영도구	133488	82165	80914	1251	51323	33	49	20	298	633	121	449	10515	103	136	1978	29939	479	36161
부산광역시	2600	부산진구	316369	198256	196020	2236	118113	680	199	115	730	1448	259	757	23310	164	314	3379	63657	1283	99725
부산광역시	2600	동래구	213774	134309	132936	1373	79465	112	70	25	306	1044	202	622	15832	110	193	2321	41207	791	70101
부산광역시	2600	남구	236600	149429	147750	1679	87171	187	163	27	410	1184	214	727	18678	123	218	2742	48842	802	73433
부산광역시	2600	북구	133099	82002	81013	989	51097	76	64	13	228	656	110	423	10188	77	115	1767	29488	566	37242
부산광역시	2600	해운대구	220815	131460	129848	1612	89355	98	76	23	284	1362	196	804	15793	116	195	2326	45595	709	62271
부산광역시	2600	기장군	132902	85000	84053	947	47902	78	45	23	330	772	109	437	10964	69	109	1173	27396	1725	40823
부산광역시	2600	사하구	277497	168918	167073	1845	108579	197	144	39	807	1628	284	1068	21012	137	267	3342	58883	987	78278
부산광역시	2600	금정구	208803	128950	127593	1357	79853	218	80	41	518	1042	202	804	16364	103	193	1741	40107	649	65531
부산광역시	2600	강서구	147267	91822	90683	1139	55445	65	48	16	192	868	126	517	11077	82	167	1699	35013	566	40247
부산광역시	2600	연제구	172759	108885	107661	1224	63874	69	67	20	311	1012	173	440	12443	73	158	1752	34348	795	56000
부산광역시	2600	수영구	139020	87450	86531	919	51570	62	46	7	179	749	110	334	9348	44	104	1465	27441	462	46180
부산광역시	2600	사상구	211749	130087	128475	1612	81662	101	56	23	345	1031	173	862	15041	113	215	2887	49383	622	57623
대구광역시	2700	중구	67076	40087	39594	493	26989	16	26	10	109	320	55	101	3541	37	65	390	8030	331	26563
대구광역시	2700	동구	259243	153714	151756	1958	105529	482	107	36	404	1214	235	671	16810	127	296	1753	35854	1259	92508
대구광역시	2700	서구	200208	112387	110580	1807	87821	166	118	38	624	809	189	510	12614	113	255	1187	24692	852	68413
대구광역시	2700	남구	145460	85339	84351	988	60121	35	62	17	195	684	125	290	8838	62	122	661	17799	671	54790
대구광역시	2700	북구	323679	189325	187224	2101	134354	195	119	37	460	1478	264	967	22996	137	291	1998	44949	1303	112030
대구광역시	2700	수성구	321845	204106	202301	1805	117739	152	115	17	591	1730	264	780	21494	84	221	2843	40489	1534	131987
대구광역시	2700	달서구	423087	248294	245696	2598	174793	398	144	47	702	2191	377	1105	30405	184	380	2649	55114	1871	150129
대구광역시	2700	달성군	111889	65634	64318	1316	46255	57	64	22	183	537	105	362	8895	96	268	682	14923	498	37626
인천광역시	2800	중구	66515	37102	36446	656	29413	447	34	15	179	455	79	211	5319	65	118	1747	13342	762	13673
인천광역시	2800	동구	63482	37554	36918	636	25928	306	39	8	290	366	85	211	5896	54	123	2117	13740	848	12835
