광역	광역코드	시군구	선거인수	투표수	유효투표수	무효투표수	기권수	국민중심당	민주노동당	민주당	시민당	열린우리당	한나라당	한미준	희망사회당
서울특별시	1100	종로구	134603	71343	70174	1169	63260	297	6403	9380	164	14856	38784	92	198
서울특별시	1100	중구	107164	55367	54312	1055	51797	213	4252	5588	226	13437	30327	115	154
서울특별시	1100	용산구	187461	95809	94453	1356	91652	434	8460	9879	238	19015	56066	152	209
서울특별시	1100	성동구	266956	131928	129989	1939	135028	504	13381	16125	249	27719	71456	177	378
서울특별시	1100	광진구	293308	141078	139184	1894	152230	865	13805	15683	361	31086	76984	136	264
서울특별시	1100	동대문구	305097	153566	151300	2266	151531	644	14231	16865	299	32589	85965	191	516
서울특별시	1100	중랑구	332783	155618	153529	2089	177165	753	14661	16146	339	33542	87526	156	406
서울특별시	1100	성북구	369617	183341	180779	2562	186276	827	19740	19644	313	41099	98412	248	496
서울특별시	1100	강북구	280448	133966	132151	1815	146482	601	14099	19400	383	28754	68315	208	391
서울특별시	1100	도봉구	291852	147644	145962	1682	144208	802	14734	15118	214	33069	81580	123	322
서울특별시	1100	노원구	465546	239942	236926	3016	225604	1403	27498	22021	376	54081	130631	374	542
서울특별시	1100	은평구	367295	173524	171065	2459	193771	924	16723	19104	335	40239	93018	239	483
서울특별시	1100	서대문구	277490	137876	135768	2108	139614	625	14051	13196	215	32278	74966	134	303
서울특별시	1100	마포구	312630	154433	152070	2363	158197	651	17072	15670	584	34646	82885	177	385
서울특별시	1100	양천구	374034	193203	190494	2709	180831	1043	18212	18143	385	42216	109427	573	495
서울특별시	1100	강서구	430027	211558	208632	2926	218469	1070	22370	20575	420	45751	117367	490	589
서울특별시	1100	구로구	327895	164412	161567	2845	163483	1087	18701	15971	262	36764	88243	193	346
서울특별시	1100	금천구	199986	97773	96108	1665	102213	775	10555	12223	206	21989	49947	150	263
서울특별시	1100	영등포구	325010	163783	161375	2408	161227	892	14769	16020	456	36203	92370	216	449
