광역	광역코드	시군구	선거인수	투표수	유효투표수	무효투표수	기권수	정당	득표수
서울특별시	1100	종로구	134603	71343	70174	1169	63260	열린우리당	14856
서울특별시	1100	중구	107164	55367	54312	1055	51797	열린우리당	13437
서울특별시	1100	용산구	187461	95809	94453	1356	91652	열린우리당	19015
서울특별시	1100	성동구	266956	131928	129989	1939	135028	열린우리당	27719
서울특별시	1100	광진구	293308	141078	139184	1894	152230	열린우리당	31086
서울특별시	1100	동대문구	305097	153566	151300	2266	151531	열린우리당	32589
서울특별시	1100	중랑구	332783	155618	153529	2089	177165	열린우리당	33542
서울특별시	1100	성북구	369617	183341	180779	2562	186276	열린우리당	41099
서울특별시	1100	강북구	280448	133966	132151	1815	146482	열린우리당	28754
서울특별시	1100	도봉구	291852	147644	145962	1682	144208	열린우리당	33069
서울특별시	1100	노원구	465546	239942	236926	3016	225604	열린우리당	54081
서울특별시	1100	은평구	367295	173524	171065	2459	193771	열린우리당	40239
서울특별시	1100	서대문구	277490	137876	135768	2108	139614	열린우리당	32278
서울특별시	1100	마포구	312630	154433	152070	2363	158197	열린우리당	34646
서울특별시	1100	양천구	374034	193203	190494	2709	180831	열린우리당	42216
서울특별시	1100	강서구	430027	211558	208632	2926	218469	열린우리당	45751
서울특별시	1100	구로구	327895	164412	161567	2845	163483	열린우리당	36764
서울특별시	1100	금천구	199986	97773	96108	1665	102213	열린우리당	21989
서울특별시	1100	영등포구	325010	163783	161375	2408	161227	열린우리당	36203
서울특별시	1100	동작구	328129	166421	164200	2221	161708	열린우리당	36448
서울특별시	1100	관악구	431791	210835	208183	2652	220956	열린우리당	46260
서울특별시	1100	서초구	316852	164432	162438	1994	152420	열린우리당	24991
서울특별시	1100	강남구	433889	216748	214780	1968	217141	열린우리당	30811
서울특별시	1100	송파구	467011	237296	234803	2493	229715	열린우리당	45297
서울특별시	1100	강동구	356774	175768	173429	2339	181006	열린우리당	34189
서울특별시	1100	종로구	134603	71343	70174	1169	63260	한나라당	38784
서울특별시	1100	중구	107164	55367	54312	1055	51797	한나라당	30327
서울특별시	1100	용산구	187461	95809	94453	1356	91652	한나라당	56066
서울특별시	1100	성동구	266956	131928	129989	1939	135028	한나라당	71456
서울특별시	1100	광진구	293308	141078	139184	1894	152230	한나라당	76984
서울특별시	1100	동대문구	305097	153566	151300	2266	151531	한나라당	85965
서울특별시	1100	중랑구	332783	155618	153529	2089	177165	한나라당	87526
서울특별시	1100	성북구	369617	183341	180779	2562	186276	한나라당	98412
서울특별시	1100	강북구	280448	133966	132151	1815	146482	한나라당	68315
서울특별시	1100	도봉구	291852	147644	145962	1682	144208	한나라당	81580
