광역	광역코드	시군구	선거인수	투표수	유효투표수	무효투표수	기권수	경제공화당	대통합민주신당	무소속	민주노동당	민주당	새시대참사람연합	참주인연합	창조한국당	한국사회당	한나라당
서울특별시	1100	종로구	133946	85480	85157	323	48466	331	21515	9984	1889	398	13	56	5722	77	45172
서울특별시	1100	중구	106837	66496	66285	211	40341	240	17299	7278	1387	328	9	33	4324	52	35335
서울특별시	1100	용산구	190910	117051	116704	347	73859	486	25967	13554	2358	532	12	78	7544	77	66096
서울특별시	1100	성동구	266124	165391	164911	480	100733	727	41902	17389	3811	894	38	100	11330	118	88602
서울특별시	1100	광진구	297332	183412	182988	424	113920	943	46597	21275	4159	845	33	106	14052	114	94864
서울특별시	1100	동대문구	304410	190407	189801	606	114003	826	49064	20931	4443	910	41	79	12660	138	100709
서울특별시	1100	중랑구	337898	204119	203489	630	133779	1066	54085	23503	4913	961	31	89	13083	150	105608
서울특별시	1100	성북구	373761	235180	234542	638	138581	958	60790	25572	5597	1062	30	147	17007	193	123186
서울특별시	1100	강북구	277954	168236	167702	534	109718	770	47290	17373	4278	1039	36	91	10913	121	85791
서울특별시	1100	도봉구	293138	188015	187475	540	105123	795	46515	21578	4563	842	42	88	13355	101	99596
서울특별시	1100	노원구	466884	306503	305585	918	160381	1274	76021	37607	8445	1351	77	207	22951	213	157439
서울특별시	1100	은평구	362685	218004	217241	763	144681	1020	59909	26376	5069	1127	51	127	15139	183	108240
서울특별시	1100	서대문구	278848	174263	173769	494	104585	752	46522	20548	4364	828	24	118	12833	135	87645
서울특별시	1100	마포구	315333	194947	194415	532	120386	889	49343	23936	5627	863	35	120	16037	218	97347
서울특별시	1100	양천구	378841	241697	241065	632	137144	1011	59636	29211	5232	966	46	156	16751	137	127919
서울특별시	1100	강서구	436622	272240	271059	1181	164382	1440	68471	33701	6363	1335	51	189	20464	169	138876
서울특별시	1100	구로구	333323	211497	210897	600	121826	1021	55683	28102	5587	1169	31	110	16083	143	102968
