광역	광역코드	시군구	선거인수	투표수	유효투표수	무효투표수	기권수	득표수	후보명	정당
서울특별시	1100	종로구	133946	85480	85157	323	48466	21515	정동영	대통합민주신당
서울특별시	1100	중구	106837	66496	66285	211	40341	17299	정동영	대통합민주신당
서울특별시	1100	용산구	190910	117051	116704	347	73859	25967	정동영	대통합민주신당
서울특별시	1100	성동구	266124	165391	164911	480	100733	41902	정동영	대통합민주신당
서울특별시	1100	광진구	297332	183412	182988	424	113920	46597	정동영	대통합민주신당
서울특별시	1100	동대문구	304410	190407	189801	606	114003	49064	정동영	대통합민주신당
서울특별시	1100	중랑구	337898	204119	203489	630	133779	54085	정동영	대통합민주신당
서울특별시	1100	성북구	373761	235180	234542	638	138581	60790	정동영	대통합민주신당
서울특별시	1100	강북구	277954	168236	167702	534	109718	47290	정동영	대통합민주신당
서울특별시	1100	도봉구	293138	188015	187475	540	105123	46515	정동영	대통합민주신당
서울특별시	1100	노원구	466884	306503	305585	918	160381	76021	정동영	대통합민주신당
서울특별시	1100	은평구	362685	218004	217241	763	144681	59909	정동영	대통합민주신당
서울특별시	1100	서대문구	278848	174263	173769	494	104585	46522	정동영	대통합민주신당
서울특별시	1100	마포구	315333	194947	194415	532	120386	49343	정동영	대통합민주신당
서울특별시	1100	양천구	378841	241697	241065	632	137144	59636	정동영	대통합민주신당
서울특별시	1100	강서구	436622	272240	271059	1181	164382	68471	정동영	대통합민주신당
서울특별시	1100	구로구	333323	211497	210897	600	121826	55683	정동영	대통합민주신당
서울특별시	1100	금천구	196513	118869	118454	415	77644	34966	정동영	대통합민주신당
서울특별시	1100	영등포구	325884	206002	205371	631	119882	51008	정동영	대통합민주신당
서울특별시	1100	동작구	326851	209902	209350	552	116949	53613	정동영	대통합민주신당
서울특별시	1100	관악구	439707	268101	267400	701	171606	77804	정동영	대통합민주신당
서울특별시	1100	서초구	320018	212282	211836	446	107736	34112	정동영	대통합민주신당
서울특별시	1100	강남구	442286	283231	282618	613	159055	41493	정동영	대통합민주신당
서울특별시	1100	송파구	483567	313620	312799	821	169947	66697	정동영	대통합민주신당
서울특별시	1100	강동구	362024	231077	230456	621	130947	51510	정동영	대통합민주신당
서울특별시	1100	종로구	133946	85480	85157	323	48466	45172	이명박	한나라당
서울특별시	1100	중구	106837	66496	66285	211	40341	35335	이명박	한나라당
서울특별시	1100	용산구	190910	117051	116704	347	73859	66096	이명박	한나라당
서울특별시	1100	성동구	266124	165391	164911	480	100733	88602	이명박	한나라당
서울특별시	1100	광진구	297332	183412	182988	424	113920	94864	이명박	한나라당
서울특별시	1100	동대문구	304410	190407	189801	606	114003	100709	이명박	한나라당
서울특별시	1100	중랑구	337898	204119	203489	630	133779	105608	이명박	한나라당
서울특별시	1100	성북구	373761	235180	234542	638	138581	123186	이명박	한나라당
서울특별시	1100	강북구	277954	168236	167702	534	109718	85791	이명박	한나라당
서울특별시	1100	도봉구	293138	188015	187475	540	105123	99596	이명박	한나라당
서울특별시	1100	노원구	466884	306503	305585	918	160381	157439	이명박	한나라당
서울특별시	1100	은평구	362685	218004	217241	763	144681	108240	이명박	한나라당
서울특별시	1100	서대문구	278848	174263	173769	494	104585	87645	이명박	한나라당
서울특별시	1100	마포구	315333	194947	194415	532	120386	97347	이명박	한나라당
서울특별시	1100	양천구	378841	241697	241065	632	137144	127919	이명박	한나라당
서울특별시	1100	강서구	436622	272240	271059	1181	164382	138876	이명박	한나라당
서울특별시	1100	구로구	333323	211497	210897	600	121826	102968	이명박	한나라당
서울특별시	1100	금천구	196513	118869	118454	415	77644	55968	이명박	한나라당
서울특별시	1100	영등포구	325884	206002	205371	631	119882	106558	이명박	한나라당
서울특별시	1100	동작구	326851	209902	209350	552	116949	106067	이명박	한나라당
서울특별시	1100	관악구	439707	268101	267400	701	171606	121270	이명박	한나라당
서울특별시	1100	서초구	320018	212282	211836	446	107736	136443	이명박	한나라당
서울특별시	1100	강남구	442286	283231	282618	613	159055	187778	이명박	한나라당
서울특별시	1100	송파구	483567	313620	312799	821	169947	180704	이명박	한나라당
서울특별시	1100	강동구	362024	231077	230456	621	130947	128981	이명박	한나라당
서울특별시	1100	종로구	133946	85480	85157	323	48466	1889	권영길	민주노동당
서울특별시	1100	중구	106837	66496	66285	211	40341	1387	권영길	민주노동당
서울특별시	1100	용산구	190910	117051	116704	347	73859	2358	권영길	민주노동당
서울특별시	1100	성동구	266124	165391	164911	480	100733	3811	권영길	민주노동당
서울특별시	1100	광진구	297332	183412	182988	424	113920	4159	권영길	민주노동당
서울특별시	1100	동대문구	304410	190407	189801	606	114003	4443	권영길	민주노동당
서울특별시	1100	중랑구	337898	204119	203489	630	133779	4913	권영길	민주노동당
서울특별시	1100	성북구	373761	235180	234542	638	138581	5597	권영길	민주노동당
서울특별시	1100	강북구	277954	168236	167702	534	109718	4278	권영길	민주노동당
서울특별시	1100	도봉구	293138	188015	187475	540	105123	4563	권영길	민주노동당
서울특별시	1100	노원구	466884	306503	305585	918	160381	8445	권영길	민주노동당
서울특별시	1100	은평구	362685	218004	217241	763	144681	5069	권영길	민주노동당
서울특별시	1100	서대문구	278848	174263	173769	494	104585	4364	권영길	민주노동당
서울특별시	1100	마포구	315333	194947	194415	532	120386	5627	권영길	민주노동당
서울특별시	1100	양천구	378841	241697	241065	632	137144	5232	권영길	민주노동당
서울특별시	1100	강서구	436622	272240	271059	1181	164382	6363	권영길	민주노동당
서울특별시	1100	구로구	333323	211497	210897	600	121826	5587	권영길	민주노동당
서울특별시	1100	금천구	196513	118869	118454	415	77644	3289	권영길	민주노동당
서울특별시	1100	영등포구	325884	206002	205371	631	119882	4716	권영길	민주노동당
서울특별시	1100	동작구	326851	209902	209350	552	116949	4988	권영길	민주노동당
서울특별시	1100	관악구	439707	268101	267400	701	171606	8362	권영길	민주노동당
서울특별시	1100	서초구	320018	212282	211836	446	107736	2969	권영길	민주노동당
서울특별시	1100	강남구	442286	283231	282618	613	159055	3806	권영길	민주노동당
서울특별시	1100	송파구	483567	313620	312799	821	169947	5499	권영길	민주노동당
서울특별시	1100	강동구	362024	231077	230456	621	130947	4630	권영길	민주노동당
서울특별시	1100	종로구	133946	85480	85157	323	48466	398	이인제	민주당
서울특별시	1100	중구	106837	66496	66285	211	40341	328	이인제	민주당
서울특별시	1100	용산구	190910	117051	116704	347	73859	532	이인제	민주당
서울특별시	1100	성동구	266124	165391	164911	480	100733	894	이인제	민주당
서울특별시	1100	광진구	297332	183412	182988	424	113920	845	이인제	민주당
서울특별시	1100	동대문구	304410	190407	189801	606	114003	910	이인제	민주당
서울특별시	1100	중랑구	337898	204119	203489	630	133779	961	이인제	민주당
서울특별시	1100	성북구	373761	235180	234542	638	138581	1062	이인제	민주당
서울특별시	1100	강북구	277954	168236	167702	534	109718	1039	이인제	민주당
서울특별시	1100	도봉구	293138	188015	187475	540	105123	842	이인제	민주당
서울특별시	1100	노원구	466884	306503	305585	918	160381	1351	이인제	민주당
서울특별시	1100	은평구	362685	218004	217241	763	144681	1127	이인제	민주당
서울특별시	1100	서대문구	278848	174263	173769	494	104585	828	이인제	민주당
서울특별시	1100	마포구	315333	194947	194415	532	120386	863	이인제	민주당
서울특별시	1100	양천구	378841	241697	241065	632	137144	966	이인제	민주당
서울특별시	1100	강서구	436622	272240	271059	1181	164382	1335	이인제	민주당
서울특별시	1100	구로구	333323	211497	210897	600	121826	1169	이인제	민주당
서울특별시	1100	금천구	196513	118869	118454	415	77644	767	이인제	민주당
서울특별시	1100	영등포구	325884	206002	205371	631	119882	962	이인제	민주당
서울특별시	1100	동작구	326851	209902	209350	552	116949	1010	이인제	민주당
서울특별시	1100	관악구	439707	268101	267400	701	171606	1695	이인제	민주당
서울특별시	1100	서초구	320018	212282	211836	446	107736	582	이인제	민주당
서울특별시	1100	강남구	442286	283231	282618	613	159055	722	이인제	민주당
서울특별시	1100	송파구	483567	313620	312799	821	169947	1100	이인제	민주당
서울특별시	1100	강동구	362024	231077	230456	621	130947	926	이인제	민주당
서울특별시	1100	종로구	133946	85480	85157	323	48466	5722	문국현	창조한국당
서울특별시	1100	중구	106837	66496	66285	211	40341	4324	문국현	창조한국당
서울특별시	1100	용산구	190910	117051	116704	347	73859	7544	문국현	창조한국당
서울특별시	1100	성동구	266124	165391	164911	480	100733	11330	문국현	창조한국당
서울특별시	1100	광진구	297332	183412	182988	424	113920	14052	문국현	창조한국당
서울특별시	1100	동대문구	304410	190407	189801	606	114003	12660	문국현	창조한국당
서울특별시	1100	중랑구	337898	204119	203489	630	133779	13083	문국현	창조한국당
서울특별시	1100	성북구	373761	235180	234542	638	138581	17007	문국현	창조한국당
서울특별시	1100	강북구	277954	168236	167702	534	109718	10913	문국현	창조한국당
서울특별시	1100	도봉구	293138	188015	187475	540	105123	13355	문국현	창조한국당
서울특별시	1100	노원구	466884	306503	305585	918	160381	22951	문국현	창조한국당
서울특별시	1100	은평구	362685	218004	217241	763	144681	15139	문국현	창조한국당
서울특별시	1100	서대문구	278848	174263	173769	494	104585	12833	문국현	창조한국당
서울특별시	1100	마포구	315333	194947	194415	532	120386	16037	문국현	창조한국당
서울특별시	1100	양천구	378841	241697	241065	632	137144	16751	문국현	창조한국당
서울특별시	1100	강서구	436622	272240	271059	1181	164382	20464	문국현	창조한국당
서울특별시	1100	구로구	333323	211497	210897	600	121826	16083	문국현	창조한국당
서울특별시	1100	금천구	196513	118869	118454	415	77644	7597	문국현	창조한국당
서울특별시	1100	영등포구	325884	206002	205371	631	119882	14819	문국현	창조한국당
서울특별시	1100	동작구	326851	209902	209350	552	116949	16943	문국현	창조한국당
서울특별시	1100	관악구	439707	268101	267400	701	171606	23536	문국현	창조한국당
서울특별시	1100	서초구	320018	212282	211836	446	107736	13223	문국현	창조한국당
서울특별시	1100	강남구	442286	283231	282618	613	159055	16465	문국현	창조한국당
서울특별시	1100	송파구	483567	313620	312799	821	169947	20642	문국현	창조한국당
서울특별시	1100	강동구	362024	231077	230456	621	130947	15308	문국현	창조한국당
서울특별시	1100	종로구	133946	85480	85157	323	48466	56	정근모	참주인연합
서울특별시	1100	중구	106837	66496	66285	211	40341	33	정근모	참주인연합
서울특별시	1100	용산구	190910	117051	116704	347	73859	78	정근모	참주인연합
서울특별시	1100	성동구	266124	165391	164911	480	100733	100	정근모	참주인연합
서울특별시	1100	광진구	297332	183412	182988	424	113920	106	정근모	참주인연합
서울특별시	1100	동대문구	304410	190407	189801	606	114003	79	정근모	참주인연합
서울특별시	1100	중랑구	337898	204119	203489	630	133779	89	정근모	참주인연합
서울특별시	1100	성북구	373761	235180	234542	638	138581	147	정근모	참주인연합
서울특별시	1100	강북구	277954	168236	167702	534	109718	91	정근모	참주인연합
서울특별시	1100	도봉구	293138	188015	187475	540	105123	88	정근모	참주인연합
서울특별시	1100	노원구	466884	306503	305585	918	160381	207	정근모	참주인연합
서울특별시	1100	은평구	362685	218004	217241	763	144681	127	정근모	참주인연합
서울특별시	1100	서대문구	278848	174263	173769	494	104585	118	정근모	참주인연합
서울특별시	1100	마포구	315333	194947	194415	532	120386	120	정근모	참주인연합
서울특별시	1100	양천구	378841	241697	241065	632	137144	156	정근모	참주인연합
서울특별시	1100	강서구	436622	272240	271059	1181	164382	189	정근모	참주인연합
서울특별시	1100	구로구	333323	211497	210897	600	121826	110	정근모	참주인연합
서울특별시	1100	금천구	196513	118869	118454	415	77644	64	정근모	참주인연합
서울특별시	1100	영등포구	325884	206002	205371	631	119882	124	정근모	참주인연합
서울특별시	1100	동작구	326851	209902	209350	552	116949	144	정근모	참주인연합
서울특별시	1100	관악구	439707	268101	267400	701	171606	167	정근모	참주인연합
서울특별시	1100	서초구	320018	212282	211836	446	107736	133	정근모	참주인연합
서울특별시	1100	강남구	442286	283231	282618	613	159055	177	정근모	참주인연합
서울특별시	1100	송파구	483567	313620	312799	821	169947	162	정근모	참주인연합
서울특별시	1100	강동구	362024	231077	230456	621	130947	148	정근모	참주인연합
서울특별시	1100	종로구	133946	85480	85157	323	48466	331	허경영	경제공화당
서울특별시	1100	중구	106837	66496	66285	211	40341	240	허경영	경제공화당
서울특별시	1100	용산구	190910	117051	116704	347	73859	486	허경영	경제공화당
서울특별시	1100	성동구	266124	165391	164911	480	100733	727	허경영	경제공화당
서울특별시	1100	광진구	297332	183412	182988	424	113920	943	허경영	경제공화당
서울특별시	1100	동대문구	304410	190407	189801	606	114003	826	허경영	경제공화당
서울특별시	1100	중랑구	337898	204119	203489	630	133779	1066	허경영	경제공화당
서울특별시	1100	성북구	373761	235180	234542	638	138581	958	허경영	경제공화당
서울특별시	1100	강북구	277954	168236	167702	534	109718	770	허경영	경제공화당
서울특별시	1100	도봉구	293138	188015	187475	540	105123	795	허경영	경제공화당
서울특별시	1100	노원구	466884	306503	305585	918	160381	1274	허경영	경제공화당
서울특별시	1100	은평구	362685	218004	217241	763	144681	1020	허경영	경제공화당
서울특별시	1100	서대문구	278848	174263	173769	494	104585	752	허경영	경제공화당
서울특별시	1100	마포구	315333	194947	194415	532	120386	889	허경영	경제공화당
서울특별시	1100	양천구	378841	241697	241065	632	137144	1011	허경영	경제공화당
서울특별시	1100	강서구	436622	272240	271059	1181	164382	1440	허경영	경제공화당
서울특별시	1100	구로구	333323	211497	210897	600	121826	1021	허경영	경제공화당
서울특별시	1100	금천구	196513	118869	118454	415	77644	545	허경영	경제공화당
서울특별시	1100	영등포구	325884	206002	205371	631	119882	873	허경영	경제공화당
서울특별시	1100	동작구	326851	209902	209350	552	116949	980	허경영	경제공화당
서울특별시	1100	관악구	439707	268101	267400	701	171606	1321	허경영	경제공화당
서울특별시	1100	서초구	320018	212282	211836	446	107736	700	허경영	경제공화당
서울특별시	1100	강남구	442286	283231	282618	613	159055	989	허경영	경제공화당
서울특별시	1100	송파구	483567	313620	312799	821	169947	1344	허경영	경제공화당
서울특별시	1100	강동구	362024	231077	230456	621	130947	1104	허경영	경제공화당
서울특별시	1100	종로구	133946	85480	85157	323	48466	13	전관	새시대참사람연합
서울특별시	1100	중구	106837	66496	66285	211	40341	9	전관	새시대참사람연합
서울특별시	1100	용산구	190910	117051	116704	347	73859	12	전관	새시대참사람연합
서울특별시	1100	성동구	266124	165391	164911	480	100733	38	전관	새시대참사람연합
서울특별시	1100	광진구	297332	183412	182988	424	113920	33	전관	새시대참사람연합
서울특별시	1100	동대문구	304410	190407	189801	606	114003	41	전관	새시대참사람연합
서울특별시	1100	중랑구	337898	204119	203489	630	133779	31	전관	새시대참사람연합
서울특별시	1100	성북구	373761	235180	234542	638	138581	30	전관	새시대참사람연합
서울특별시	1100	강북구	277954	168236	167702	534	109718	36	전관	새시대참사람연합
서울특별시	1100	도봉구	293138	188015	187475	540	105123	42	전관	새시대참사람연합
서울특별시	1100	노원구	466884	306503	305585	918	160381	77	전관	새시대참사람연합
서울특별시	1100	은평구	362685	218004	217241	763	144681	51	전관	새시대참사람연합
서울특별시	1100	서대문구	278848	174263	173769	494	104585	24	전관	새시대참사람연합
서울특별시	1100	마포구	315333	194947	194415	532	120386	35	전관	새시대참사람연합
서울특별시	1100	양천구	378841	241697	241065	632	137144	46	전관	새시대참사람연합
서울특별시	1100	강서구	436622	272240	271059	1181	164382	51	전관	새시대참사람연합
서울특별시	1100	구로구	333323	211497	210897	600	121826	31	전관	새시대참사람연합
서울특별시	1100	금천구	196513	118869	118454	415	77644	28	전관	새시대참사람연합
서울특별시	1100	영등포구	325884	206002	205371	631	119882	44	전관	새시대참사람연합
서울특별시	1100	동작구	326851	209902	209350	552	116949	49	전관	새시대참사람연합
서울특별시	1100	관악구	439707	268101	267400	701	171606	56	전관	새시대참사람연합
서울특별시	1100	서초구	320018	212282	211836	446	107736	15	전관	새시대참사람연합
서울특별시	1100	강남구	442286	283231	282618	613	159055	23	전관	새시대참사람연합
서울특별시	1100	송파구	483567	313620	312799	821	169947	53	전관	새시대참사람연합
서울특별시	1100	강동구	362024	231077	230456	621	130947	43	전관	새시대참사람연합
서울특별시	1100	종로구	133946	85480	85157	323	48466	77	금민	한국사회당
서울특별시	1100	중구	106837	66496	66285	211	40341	52	금민	한국사회당
서울특별시	1100	용산구	190910	117051	116704	347	73859	77	금민	한국사회당
서울특별시	1100	성동구	266124	165391	164911	480	100733	118	금민	한국사회당
서울특별시	1100	광진구	297332	183412	182988	424	113920	114	금민	한국사회당
서울특별시	1100	동대문구	304410	190407	189801	606	114003	138	금민	한국사회당
서울특별시	1100	중랑구	337898	204119	203489	630	133779	150	금민	한국사회당
서울특별시	1100	성북구	373761	235180	234542	638	138581	193	금민	한국사회당
서울특별시	1100	강북구	277954	168236	167702	534	109718	121	금민	한국사회당
서울특별시	1100	도봉구	293138	188015	187475	540	105123	101	금민	한국사회당
서울특별시	1100	노원구	466884	306503	305585	918	160381	213	금민	한국사회당
서울특별시	1100	은평구	362685	218004	217241	763	144681	183	금민	한국사회당
서울특별시	1100	서대문구	278848	174263	173769	494	104585	135	금민	한국사회당
서울특별시	1100	마포구	315333	194947	194415	532	120386	218	금민	한국사회당
서울특별시	1100	양천구	378841	241697	241065	632	137144	137	금민	한국사회당
서울특별시	1100	강서구	436622	272240	271059	1181	164382	169	금민	한국사회당
서울특별시	1100	구로구	333323	211497	210897	600	121826	143	금민	한국사회당
서울특별시	1100	금천구	196513	118869	118454	415	77644	90	금민	한국사회당
서울특별시	1100	영등포구	325884	206002	205371	631	119882	138	금민	한국사회당
서울특별시	1100	동작구	326851	209902	209350	552	116949	145	금민	한국사회당
서울특별시	1100	관악구	439707	268101	267400	701	171606	247	금민	한국사회당
서울특별시	1100	서초구	320018	212282	211836	446	107736	124	금민	한국사회당
서울특별시	1100	강남구	442286	283231	282618	613	159055	142	금민	한국사회당
서울특별시	1100	송파구	483567	313620	312799	821	169947	162	금민	한국사회당
서울특별시	1100	강동구	362024	231077	230456	621	130947	114	금민	한국사회당
서울특별시	1100	종로구	133946	85480	85157	323	48466	9984	이회창	무소속
서울특별시	1100	중구	106837	66496	66285	211	40341	7278	이회창	무소속
서울특별시	1100	용산구	190910	117051	116704	347	73859	13554	이회창	무소속
서울특별시	1100	성동구	266124	165391	164911	480	100733	17389	이회창	무소속
서울특별시	1100	광진구	297332	183412	182988	424	113920	21275	이회창	무소속
서울특별시	1100	동대문구	304410	190407	189801	606	114003	20931	이회창	무소속
서울특별시	1100	중랑구	337898	204119	203489	630	133779	23503	이회창	무소속
서울특별시	1100	성북구	373761	235180	234542	638	138581	25572	이회창	무소속
서울특별시	1100	강북구	277954	168236	167702	534	109718	17373	이회창	무소속
서울특별시	1100	도봉구	293138	188015	187475	540	105123	21578	이회창	무소속
서울특별시	1100	노원구	466884	306503	305585	918	160381	37607	이회창	무소속
서울특별시	1100	은평구	362685	218004	217241	763	144681	26376	이회창	무소속
서울특별시	1100	서대문구	278848	174263	173769	494	104585	20548	이회창	무소속
서울특별시	1100	마포구	315333	194947	194415	532	120386	23936	이회창	무소속
서울특별시	1100	양천구	378841	241697	241065	632	137144	29211	이회창	무소속
서울특별시	1100	강서구	436622	272240	271059	1181	164382	33701	이회창	무소속
서울특별시	1100	구로구	333323	211497	210897	600	121826	28102	이회창	무소속
서울특별시	1100	금천구	196513	118869	118454	415	77644	15140	이회창	무소속
서울특별시	1100	영등포구	325884	206002	205371	631	119882	26129	이회창	무소속
서울특별시	1100	동작구	326851	209902	209350	552	116949	25411	이회창	무소속
서울특별시	1100	관악구	439707	268101	267400	701	171606	32942	이회창	무소속
서울특별시	1100	서초구	320018	212282	211836	446	107736	23535	이회창	무소속
서울특별시	1100	강남구	442286	283231	282618	613	159055	31023	이회창	무소속
서울특별시	1100	송파구	483567	313620	312799	821	169947	36436	이회창	무소속
서울특별시	1100	강동구	362024	231077	230456	621	130947	27692	이회창	무소속
부산광역시	2600	중구	42111	25584	25464	120	16527	3226	정동영	대통합민주신당
부산광역시	2600	서구	109489	65288	65010	278	44201	8314	정동영	대통합민주신당
부산광역시	2600	동구	87511	54017	53798	219	33494	6780	정동영	대통합민주신당
부산광역시	2600	영도구	127967	75664	75326	338	52303	13008	정동영	대통합민주신당
부산광역시	2600	부산진구	324855	200613	199973	640	124242	26287	정동영	대통합민주신당
부산광역시	2600	동래구	225283	144883	144475	408	80400	16957	정동영	대통합민주신당
부산광역시	2600	남구	237462	148749	148321	428	88713	19494	정동영	대통합민주신당
부산광역시	2600	북구	247521	154739	154195	544	92782	22441	정동영	대통합민주신당
부산광역시	2600	해운대구	322575	202750	202202	548	119825	26921	정동영	대통합민주신당
부산광역시	2600	기장군	62272	38759	38575	184	23513	4951	정동영	대통합민주신당
부산광역시	2600	사하구	283276	171149	170518	631	112127	24215	정동영	대통합민주신당
부산광역시	2600	금정구	206527	131508	131092	416	75019	15925	정동영	대통합민주신당
부산광역시	2600	강서구	43825	25623	25435	188	18202	3700	정동영	대통합민주신당
부산광역시	2600	연제구	169739	108433	108080	353	61306	13445	정동영	대통합민주신당
부산광역시	2600	수영구	144300	91170	90948	222	53130	10807	정동영	대통합민주신당
부산광역시	2600	사상구	208350	126302	125840	462	82048	20237	정동영	대통합민주신당
부산광역시	2600	중구	42111	25584	25464	120	16527	15672	이명박	한나라당
부산광역시	2600	서구	109489	65288	65010	278	44201	39620	이명박	한나라당
부산광역시	2600	동구	87511	54017	53798	219	33494	31708	이명박	한나라당
부산광역시	2600	영도구	127967	75664	75326	338	52303	41811	이명박	한나라당
