광역	광역코드	시군구	선거인수	투표수	유효투표수	무효투표수	기권수	국민실향안보당	기독당	문화예술당	민주노동당	시민당	신미래당	자유선진당	직능연합당	진보신당	창조한국당	친박연대	통합민주당	평화통일가정당	한국사회당	한나라당
서울특별시	1100	종로구	135727	70871	69910	961	64856	126	1237	60	2046	25	21	3747	51	2750	2647	5658	22558	500	65	28419
서울특별시	1100	중구	106880	51570	50914	656	55310	110	1085	60	1979	38	23	4506	49	1346	1818	4367	14333	344	65	20791
서울특별시	1100	용산구	192033	82606	81753	853	109427	196	1687	88	3306	38	23	4451	65	2780	3296	8706	20271	1221	63	35562
서울특별시	1100	성동구	265667	123624	122134	1490	142043	153	2264	135	4670	46	55	4541	78	3809	5047	10841	39246	702	99	50448
서울특별시	1100	광진구	298666	130836	129539	1297	167830	193	2984	149	5128	49	45	6171	126	4384	5648	13889	39271	1335	106	50061
서울특별시	1100	동대문구	303788	140597	138670	1927	163191	256	3185	166	5878	82	57	5426	146	4472	5733	15308	40158	1122	131	56550
서울특별시	1100	중랑구	338808	147219	145117	2102	191589	729	3510	1000	6905	156	74	6218	127	4080	5878	17289	40156	1086	216	57693
서울특별시	1100	성북구	375377	166449	164308	2141	208928	305	4443	200	6922	123	90	7114	159	7479	7585	16243	46447	1228	174	65796
서울특별시	1100	강북구	276757	118678	117171	1507	158079	183	2520	152	4660	66	41	4920	95	5707	5197	10366	37753	713	133	44665
서울특별시	1100	도봉구	293667	140240	138792	1448	153427	203	2770	148	5606	58	49	5783	79	5044	5904	13339	41754	884	92	57079
서울특별시	1100	노원구	467417	238002	235916	2086	229415	390	6274	240	10234	110	68	9289	150	14553	9620	25591	66723	1193	187	91294
서울특별시	1100	은평구	359447	169513	167567	1946	189934	312	4134	213	6564	80	66	7271	150	5280	18517	14922	44614	1309	178	63957
서울특별시	1100	서대문구	277932	128636	127031	1605	149296	236	3106	137	5306	42	47	5362	104	5612	5826	12110	38486	909	133	49615
서울특별시	1100	마포구	317518	143388	141889	1499	174130	216	3483	163	5513	59	38	5957	119	7990	6859	15012	41099	1091	136	54154
서울특별시	1100	양천구	378915	172995	171092	1903	205920	208	4623	197	5566	62	45	11509	152	6478	7612	17839	48340	1146	113	67202
서울특별시	1100	강서구	443974	198733	197078	1655	245241	417	5949	246	7846	111	76	10634	160	6998	9201	20140	56384	1210	167	77539
서울특별시	1100	구로구	333902	160271	158544	1727	173631	216	4658	154	6798	61	51	8389	96	5327	6766	15477	50765	1003	102	58681
서울특별시	1100	금천구	196593	86450	85367	1083	110143	145	2529	113	4273	42	36	5649	54	2414	3269	7995	27198	564	83	31003
서울특별시	1100	영등포구	326350	148824	147244	1580	177526	218	3290	146	5637	59	51	7314	93	5338	6713	17322	42643	1020	118	57282
서울특별시	1100	동작구	327717	173206	171569	1637	154511	235	4087	158	5662	53	50	6730	207	7938	7224	17410	56045	866	120	64784
서울특별시	1100	관악구	441081	197426	195574	1852	243655	258	4491	226	8188	85	71	8541	244	12884	9677	16816	65560	1166	214	67153
서울특별시	1100	서초구	320775	146437	145285	1152	174338	394	2965	233	3478	39	37	7234	134	5584	6053	18773	27762	900	69	71630
서울특별시	1100	강남구	444494	187890	186758	1132	256604	254	3483	221	4366	160	60	10087	117	7234	7225	24613	32422	964	84	95468
서울특별시	1100	송파구	491127	216721	215046	1675	274406	203	5100	255	6595	63	57	10697	171	7115	9684	24918	56227	1283	146	92532
서울특별시	1100	강동구	363743	160552	159114	1438	203191	189	7601	152	5625	68	57	8191	144	5767	6788	17870	41254	1187	102	64119
부산광역시	2600	중구	42068	16916	16674	242	25152	64	317	26	613	13	7	1351	7	358	538	3489	1785	144	22	7940
부산광역시	2600	서구	108524	49009	47834	1175	59515	1589	838	66	1862	52	32	2097	33	981	1591	11059	4646	382	80	22526
부산광역시	2600	동구	86897	34247	33462	785	52650	96	584	49	1433	45	21	3137	31	715	1125	7473	3421	398	60	14874
부산광역시	2600	영도구	126970	56795	55469	1326	70175	1546	930	99	4020	71	67	2417	30	1327	1800	9320	8868	505	109	24360
부산광역시	2600	부산진구	325043	131067	129181	1886	193976	1027	2266	173	7690	150	64	10318	96	4181	4484	26591	15400	1052	186	55503
부산광역시	2600	동래구	224455	102919	101136	1783	121536	2023	1506	150	4254	73	59	4775	70	2800	4053	25674	11083	732	131	43753
부산광역시	2600	남구	237463	103212	101449	1763	134251	1268	2190	162	5889	110	75	4890	67	2819	4144	22612	11703	974	117	44429
부산광역시	2600	북구	135186	53627	52821	806	81559	77	882	83	2631	52	25	2384	37	1294	2009	10714	9984	433	82	22134
부산광역시	2600	해운대구	232983	90296	89031	1265	142687	133	1788	116	4959	70	54	5379	81	2530	3370	18468	12040	602	82	39359
부산광역시	2600	기장군	152569	64373	63386	987	88196	105	1290	86	2637	37	20	2852	38	2144	2474	16338	7375	373	57	27560
부산광역시	2600	사하구	285366	125108	123456	1652	160258	176	2321	151	6204	74	57	4579	116	2757	4707	24298	22161	762	115	54978
부산광역시	2600	금정구	206393	99555	97505	2050	106838	3054	1467	174	5811	138	83	4669	81	2832	3783	22009	9916	619	168	42701
부산광역시	2600	강서구	155247	65159	64173	986	90088	144	1258	83	2922	52	30	3120	37	2923	2606	13270	9998	602	107	27021
부산광역시	2600	연제구	169695	79836	78421	1415	89859	148	1705	105	4259	83	43	3585	47	2038	3000	21645	8170	462	91	33040
부산광역시	2600	수영구	145007	67828	66651	1177	77179	1249	873	75	2545	49	39	3173	43	1722	2533	16997	6826	469	82	29976
부산광역시	2600	사상구	207579	78386	77125	1261	129193	189	1620	113	5514	81	44	3512	43	1790	2919	20436	9118	507	107	31132
대구광역시	2700	중구	65971	30462	30025	437	35509	285	507	26	810	18	10	1744	21	543	796	8715	1593	177	51	14729
대구광역시	2700	동구	264086	117092	115279	1813	146994	236	2540	129	4282	84	78	5451	81	2163	3365	35840	5808	767	146	54309
대구광역시	2700	서구	188724	86184	84647	1537	102540	196	1159	111	2175	75	42	2563	35	1684	1860	32197	3200	554	99	38697
대구광역시	2700	남구	145673	63366	62485	881	82307	534	1395	76	2033	54	34	3668	43	1129	1758	18000	3279	454	85	29943
대구광역시	2700	북구	342236	142729	140819	1910	199507	278	2778	141	4245	78	56	5446	101	3199	4342	47584	7334	1035	124	64078
대구광역시	2700	수성구	332658	158138	156606	1532	174520	705	2793	166	3867	95	57	5813	89	5319	4802	49770	8426	876	132	73696
대구광역시	2700	달서구	438934	201686	199135	2551	237248	1307	3177	196	6409	125	69	6999	195	4377	6208	69527	9336	1248	188	89774
대구광역시	2700	달성군	121397	57419	56194	1225	63978	105	1143	69	3545	63	45	1753	43	1003	1490	15157	2673	641	132	28332
인천광역시	2800	중구	70398	29423	28816	607	40975	63	949	47	1177	29	20	1418	19	1076	1202	3312	6647	239	54	12564
인천광역시	2800	동구	59084	27609	26954	655	31475	94	739	58	1343	41	26	1352	19	1453	891	2925	6317	282	65	11349
인천광역시	2800	남구	327790	134088	131877	2211	193702	226	4714	187	5697	102	79	8111	93	3416	5572	15168	31699	1019	176	55618
인천광역시	2800	연수구	195237	85197	84162	1035	110040	95	3249	102	3903	56	50	6724	38	3088	4078	10208	17462	527	78	34504
인천광역시	2800	남동구	324749	136889	134951	1938	187860	817	5826	214	10448	153	82	9368	81	3905	7485	14958	28533	1421	160	51500
인천광역시	2800	부평구	431169	179154	176782	2372	252015	415	6003	267	12247	130	77	11801	99	5609	7447	17695	47457	1228	205	66102
인천광역시	2800	계양구	249250	107119	105946	1173	142131	78	3784	139	6887	68	52	6270	65	3168	4428	9334	31858	950	111	38754
인천광역시	2800	서구	212272	85289	83964	1325	126983	110	2837	121	4293	83	47	3816	61	3252	3212	8765	23413	769	115	33070
인천광역시	2800	강화군	134583	64543	62743	1800	70040	166	3077	977	2648	143	67	2482	66	1836	2505	8836	12077	638	187	27038
인천광역시	2800	옹진군	14167	8919	8613	306	5248	22	190	25	294	24	5	267	9	109	187	591	2017	75	45	4753
광주광역시	2900	동구	89403	39468	39000	468	49935	33	1001	46	2010	20	16	528	41	806	1424	545	29103	512	64	2851
광주광역시	2900	서구	221647	91463	90575	888	130184	87	2825	113	8143	51	27	784	51	2867	3677	1177	63903	936	131	5803
광주광역시	2900	남구	161077	75238	74076	1162	85839	196	4083	157	5212	124	47	742	100	1496	2597	1017	52844	822	173	4466
광주광역시	2900	북구	346047	138068	136549	1519	207979	155	4993	198	12031	78	53	1283	143	3550	5827	1714	97415	1229	215	7665
광주광역시	2900	광산구	216219	94141	92750	1391	122078	1172	2751	139	13154	110	44	711	81	2432	3392	1142	61524	1118	214	4766
대전광역시	3000	동구	191688	84718	83470	1248	106970	79	1772	90	3492	84	59	32369	56	1206	2381	5818	15786	609	103	19566
대전광역시	3000	중구	204253	95097	93797	1300	109156	92	2290	116	3162	68	42	36979	45	1451	2895	7086	13355	682	92	25442
대전광역시	3000	서구	367778	165081	163303	1778	202697	176	4840	173	5201	103	77	53734	69	3336	6036	16673	33664	936	170	38115
대전광역시	3000	유성구	180520	82900	82043	857	97620	103	2921	91	3424	70	35	23220	36	2885	4526	8036	15147	454	94	21001
대전광역시	3000	대덕구	157060	71410	70456	954	85650	75	2236	81	3830	55	24	23056	35	1066	2213	5057	13825	731	76	18096
울산광역시	3100	중구	177629	75535	74821	714	102094	71	1132	109	10280	70	42	2581	57	2334	2499	14862	7154	633	82	32915
울산광역시	3100	남구	250982	109114	108146	968	141868	207	1448	136	14536	84	67	4091	55	3424	4239	21565	9653	828	130	47683
울산광역시	3100	동구	135389	64612	63910	702	70777	332	992	87	8991	65	40	1754	27	5443	1902	9781	7140	552	75	26729
울산광역시	3100	북구	110077	52642	52116	526	57435	61	796	50	12304	41	32	1335	34	3334	1570	9575	3788	263	61	18872
