광역	광역코드	시군구	선거인수	투표수	유효투표수	무효투표수	기권수	국민참여당	미래연합	민주노동당	민주당	사회당	자유선진당	진보신당	친박연합	평화민주당	한나라당
서울특별시	1100	종로구	138917	77805	76637	1168	61112	3729	215	2578	31528	54	2379	3479	715	231	31729
서울특별시	1100	중구	109000	60760	59519	1241	48240	2774	288	2195	24983	71	1801	1792	825	257	24533
서울특별시	1100	용산구	198044	105015	103386	1629	93029	3859	394	3927	38716	85	3810	4300	1230	344	46721
서울특별시	1100	성동구	250316	135281	133400	1881	115035	5658	284	6681	56193	91	3934	4072	1303	432	54752
서울특별시	1100	광진구	301603	158986	156801	2185	142617	9222	393	6101	66824	118	4696	5096	1912	414	62025
서울특별시	1100	동대문구	297206	160477	158043	2434	136729	6976	381	5759	67660	124	4987	5104	2385	481	64186
서울특별시	1100	중랑구	343810	172251	169905	2346	171559	6747	403	6342	74303	132	4991	4821	2375	540	69251
서울특별시	1100	성북구	383508	204662	201945	2717	178846	12687	467	7773	85366	133	6519	8587	1773	572	78068
서울특별시	1100	강북구	276171	142075	140078	1997	134096	5189	356	5694	63305	92	3713	6399	1328	435	53567
서울특별시	1100	도봉구	292842	159955	157729	2226	132887	8619	938	6736	65869	96	4404	5203	1618	390	63856
서울특별시	1100	노원구	470325	264037	260604	3433	206288	11100	1225	12923	109775	238	8000	12047	2695	662	101939
서울특별시	1100	은평구	376385	192942	190268	2674	183443	7460	623	6352	85214	163	5896	7484	2315	686	74075
서울특별시	1100	서대문구	266950	146822	144765	2057	120128	7461	342	6231	62319	116	4325	5938	1439	414	56180
서울특별시	1100	마포구	313579	172890	170648	2242	140689	12401	416	7742	69067	214	5024	8951	1704	477	64652
서울특별시	1100	양천구	382358	214876	211664	3212	167482	9113	589	8182	88458	173	7550	7614	2674	765	86546
서울특별시	1100	강서구	455047	242772	239854	2918	212275	11283	549	8708	103191	159	8416	8581	2266	856	95845
서울특별시	1100	구로구	339568	187956	185659	2297	151612	7926	422	7906	81684	178	7009	6858	1810	662	71204
서울특별시	1100	금천구	197080	103675	102097	1578	93405	3687	242	4660	47025	86	4709	2703	1032	320	37633
서울특별시	1100	영등포구	329379	180344	177590	2754	149035	8493	1109	6299	72230	165	6347	7462	2016	552	72917
서울특별시	1100	동작구	325558	184237	182111	2126	141321	10181	419	6520	77955	143	5959	7827	1618	515	70974
서울특별시	1100	관악구	442049	238361	235551	2810	203688	13698	506	12066	105302	197	8356	14427	1782	1354	77863
서울특별시	1100	서초구	341599	186010	184196	1814	155589	8950	488	4962	54892	92	6026	6703	1781	319	99983
서울특별시	1100	강남구	452744	231892	229442	2450	220852	8667	928	5916	67482	99	8120	7841	2522	419	127448
서울특별시	1100	송파구	539644	292404	289187	3217	247240	16815	989	9487	107299	163	9963	8723	3016	610	132122
서울특별시	1100	강동구	387779	209713	207154	2559	178066	9612	506	7081	83916	113	6348	7125	2301	502	89650
부산광역시	2600	중구	41637	21347	20647	700	20290	1210	0	1928	4569	128	0	816	0	0	11996
부산광역시	2600	서구	104507	49171	47837	1334	55336	3038	0	3499	11632	335	0	1595	0	0	27738
부산광역시	2600	동구	85200	43996	42297	1699	41204	3166	0	3607	10009	465	0	1899	0	0	23151
부산광역시	2600	영도구	122392	59128	57738	1390	63264	3439	0	4661	18127	304	0	2253	0	0	28954
부산광역시	2600	부산진구	322385	157880	154388	3492	164505	12009	0	14079	42938	913	0	5513	0	0	78936
부산광역시	2600	동래구	224693	109639	107526	2113	115054	7493	0	7930	30223	562	0	4536	0	0	56782
부산광역시	2600	남구	240421	116772	114421	2351	123649	8307	0	9562	31230	550	0	5200	0	0	59572
부산광역시	2600	북구	243993	121927	119435	2492	122066	9781	0	11338	36699	684	0	4577	0	0	56356
부산광역시	2600	해운대구	328744	157528	154507	3021	171216	16992	0	11831	38709	695	0	6922	0	0	79358
부산광역시	2600	기장군	77263	44977	43071	1906	32286	3336	0	4102	10329	489	0	1820	0	0	22995
