광역	시군구	읍면동	투표소	선거인수	투표수	기권수	무효표	유효투표수	새누리당	민주통합당	자유선진당	통합진보당	창조한국당	국민생각	가자!대국민중심당	친박연합	국민행복당	기독당	녹색당	대한국당	미래연합	불교연합당	정통민주당	진보신당	청년당	한국기독당	한국문화예술당	한나라당
서울특별시	종로구	계	계	142069	81211	60858	1023	80188	34185	31488	1532	7441	237	481	89	200	154	635	774	68	26	109	194	1844	208	141	62	320
서울특별시	종로구	재외투표	재외투표	1171	667	504	2	665	319	201	10	78	1	1	3	6	0	1	6	2	0	2	3	21	1	3	1	6
서울특별시	종로구	국내부재자투표	국내부재자투표	2346	2155	191	75	2080	827	776	82	151	17	17	4	7	8	18	28	2	6	7	10	48	9	1	14	48
서울특별시	종로구	청운효자동	소계	11700	7269	4431	77	7192	3062	2647	153	778	20	64	15	23	13	31	91	4	1	4	11	199	25	13	10	28
서울특별시	종로구	청운효자동	청운효자동제1투	3644	2218	1426	24	2194	1005	726	49	233	6	28	4	9	2	8	37	0	1	1	5	60	6	5	2	7
서울특별시	종로구	청운효자동	청운효자동제2투	3760	2395	1365	29	2366	1039	883	34	245	4	21	9	5	4	11	26	3	0	1	4	55	7	2	3	10
서울특별시	종로구	청운효자동	청운효자동제3투	4296	2656	1640	24	2632	1018	1038	70	300	10	15	2	9	7	12	28	1	0	2	2	84	12	6	5	11
서울특별시	종로구	사직동	소계	8504	5052	3452	55	4997	2669	1485	88	411	9	43	3	9	8	19	58	6	1	7	3	137	7	9	1	24
서울특별시	종로구	사직동	사직동제1투	3805	2134	1671	23	2111	916	809	33	198	3	5	0	8	1	13	27	4	0	5	3	67	2	4	1	12
서울특별시	종로구	사직동	사직동제2투	4699	2918	1781	32	2886	1753	676	55	213	6	38	3	1	7	6	31	2	1	2	0	70	5	5	0	12
서울특별시	종로구	삼청동	소계	2831	1708	1123	14	1694	857	526	27	159	7	10	2	3	0	8	17	0	0	3	3	53	9	2	0	8
서울특별시	종로구	삼청동	삼청동투표소	2831	1708	1123	14	1694	857	526	27	159	7	10	2	3	0	8	17	0	0	3	3	53	9	2	0	8
서울특별시	종로구	부암동	소계	9024	5344	3680	44	5300	2500	1667	96	630	14	39	4	17	12	16	88	4	6	6	13	149	15	5	5	14
서울특별시	종로구	부암동	부암동제1투	3622	2077	1545	17	2060	939	640	23	275	6	19	2	8	2	4	53	3	2	3	4	65	4	2	2	4
