광역	시군구	읍면동	투표소	선거인수	투표수	기권수	무효표	유효투표수	박근혜	문재인	박종선	김소연	강지원	김순자
서울특별시	종로구	계	계	141447	103189	38258	553	102636	49422	52747	73	86	211	97
서울특별시	종로구	재외투표	재외투표	2138	1626	512	9	1617	798	807	1	0	5	6
서울특별시	종로구	국내부재자투표	국내부재자투표	2689	2507	182	48	2459	1167	1274	2	3	6	7
서울특별시	종로구	청운효자동	소계	11605	8907	2698	40	8867	4233	4598	4	10	18	4
서울특별시	종로구	청운효자동	청운효자동제1투	3596	2631	965	8	2623	1302	1307	1	4	8	1
서울특별시	종로구	청운효자동	청운효자동제2투	4068	3159	909	15	3144	1576	1556	3	3	4	2
서울특별시	종로구	청운효자동	청운효자동제3투	3941	3117	824	17	3100	1355	1735	0	3	6	1
서울특별시	종로구	사직동	소계	8342	6040	2302	20	6020	3448	2551	4	5	10	2
서울특별시	종로구	사직동	사직동제1투	3799	2637	1162	10	2627	1272	1346	2	2	4	1
서울특별시	종로구	사직동	사직동제2투	4543	3403	1140	10	3393	2176	1205	2	3	6	1
서울특별시	종로구	삼청동	소계	2767	2032	735	12	2020	1099	909	0	1	9	2
서울특별시	종로구	삼청동	삼청동투표소	2767	2032	735	12	2020	1099	909	0	1	9	2
서울특별시	종로구	부암동	소계	8897	6688	2209	30	6658	3381	3256	3	6	9	3
서울특별시	종로구	부암동	부암동제1투	3500	2460	1040	13	2447	1200	1239	1	2	4	1
서울특별시	종로구	부암동	부암동제2투	2731	2162	569	8	2154	1086	1058	2	3	3	2
서울특별시	종로구	부암동	부암동제3투	2666	2066	600	9	2057	1095	959	0	1	2	0
서울특별시	종로구	평창동	소계	15575	11753	3822	48	11705	6958	4700	1	8	31	7
서울특별시	종로구	평창동	평창동제1투	3113	2222	891	7	2215	1291	910	0	3	10	1
서울특별시	종로구	평창동	평창동제2투	4605	3448	1157	17	3431	2188	1230	1	3	8	1
서울특별시	종로구	평창동	평창동제3투	2516	1912	604	9	1903	1134	761	0	1	6	1
서울특별시	종로구	평창동	평창동제4투	2498	2010	488	5	2005	1110	889	0	0	4	2
서울특별시	종로구	평창동	평창동제5투	2843	2161	682	10	2151	1235	910	0	1	3	2
서울특별시	종로구	무악동	소계	6589	5117	1472	28	5089	2502	2568	2	1	12	4
서울특별시	종로구	무악동	무악동제1투	2358	1921	437	9	1912	950	956	0	1	2	3
서울특별시	종로구	무악동	무악동제2투	4231	3196	1035	19	3177	1552	1612	2	0	10	1
서울특별시	종로구	교남동	소계	7414	5100	2314	25	5075	2384	2665	4	8	6	8
서울특별시	종로구	교남동	교남동제1투	4349	2967	1382	13	2954	1360	1575	3	7	2	7
서울특별시	종로구	교남동	교남동제2투	3065	2133	932	12	2121	1024	1090	1	1	4	1
서울특별시	종로구	가회동	소계	4476	3403	1073	13	3390	1665	1705	1	3	7	9
서울특별시	종로구	가회동	가회동투표소	4476	3403	1073	13	3390	1665	1705	1	3	7	9
서울특별시	종로구	종로1·2·3·4가동	소계	7270	4440	2830	26	4414	2432	1957	7	4	10	4
서울특별시	종로구	종로1·2·3·4가동	종로1·2·3·4가동제1투	3949	2073	1876	14	2059	1205	842	4	1	5	2
서울특별시	종로구	종로1·2·3·4가동	종로1·2·3·4가동제2투	3321	2367	954	12	2355	1227	1115	3	3	5	2
서울특별시	종로구	종로5·6가동	소계	5213	3574	1639	6	3568	1715	1844	2	2	4	1
서울특별시	종로구	종로5·6가동	종로5·6가동제1투	2410	1577	833	3	1574	821	747	0	2	4	0
서울특별시	종로구	종로5·6가동	종로5·6가동제2투	2803	1997	806	3	1994	894	1097	2	0	0	1
서울특별시	종로구	이화동	소계	7697	5608	2089	23	5585	2318	3244	5	5	9	4
서울특별시	종로구	이화동	이화동제1투	3950	3016	934	16	3000	1204	1786	3	2	3	2
서울특별시	종로구	이화동	이화동제2투	3747	2592	1155	7	2585	1114	1458	2	3	6	2
서울특별시	종로구	혜화동	소계	15254	11642	3612	65	11577	4782	6728	6	15	33	13
서울특별시	종로구	혜화동	혜화동제1투	3537	2783	754	12	2771	1143	1617	2	2	5	2
서울특별시	종로구	혜화동	혜화동제2투	3081	2317	764	14	2303	986	1308	2	0	6	1
서울특별시	종로구	혜화동	혜화동제3투	3217	2487	730	12	2475	1157	1304	1	5	5	3
서울특별시	종로구	혜화동	혜화동제4투	2866	2138	728	11	2127	716	1394	0	4	10	3
서울특별시	종로구	혜화동	혜화동제5투	2553	1917	636	16	1901	780	1105	1	4	7	4
서울특별시	종로구	창신제1동	소계	5665	3680	1985	18	3662	1619	2018	7	1	12	5
서울특별시	종로구	창신제1동	창신제1동제1투	1924	998	926	6	992	496	487	2	0	5	2
서울특별시	종로구	창신제1동	창신제1동제2투	3741	2682	1059	12	2670	1123	1531	5	1	7	3
서울특별시	종로구	창신제2동	소계	9250	6435	2815	48	6387	2548	3811	8	4	11	5
서울특별시	종로구	창신제2동	창신제2동제1투	2555	1625	930	10	1615	658	948	0	2	7	0
서울특별시	종로구	창신제2동	창신제2동제2투	3296	2403	893	20	2383	1000	1378	3	0	1	1
서울특별시	종로구	창신제2동	창신제2동제3투	3399	2407	992	18	2389	890	1485	5	2	3	4
서울특별시	종로구	창신제3동	소계	6620	5020	1600	30	4990	2134	2838	5	3	7	3
서울특별시	종로구	창신제3동	창신제3동제1투	2583	1811	772	24	1787	723	1058	2	1	2	1
서울특별시	종로구	창신제3동	창신제3동제2투	4037	3209	828	6	3203	1411	1780	3	2	5	2
서울특별시	종로구	숭인제1동	소계	6051	4261	1790	23	4238	1877	2343	4	2	5	7
서울특별시	종로구	숭인제1동	숭인제1동제1투	3398	2229	1169	7	2222	1037	1178	1	1	1	4
서울특별시	종로구	숭인제1동	숭인제1동제2투	2653	2032	621	16	2016	840	1165	3	1	4	3
서울특별시	종로구	숭인제2동	소계	7935	5352	2583	41	5311	2362	2927	7	5	7	3
서울특별시	종로구	숭인제2동	숭인제2동제1투	1763	1136	627	11	1125	555	567	1	0	1	1
서울특별시	종로구	숭인제2동	숭인제2동제2투	3407	2199	1208	14	2185	965	1209	3	3	3	2
서울특별시	종로구	숭인제2동	숭인제2동제3투	2765	2017	748	16	2001	842	1151	3	2	3	0
서울특별시	종로구	잘못 투입·구분된 투표지	잘못 투입·구분된 투표지	0	4	-4	0	4	0	4	0	0	0	0
서울특별시	중구	계	계	115277	83095	32182	542	82553	40289	41919	67	56	151	71
서울특별시	중구	재외투표	재외투표	1534	1162	372	10	1152	658	490	0	2	2	0
서울특별시	중구	국내부재자투표	국내부재자투표	1986	1852	134	48	1804	862	921	4	3	9	5
서울특별시	중구	소공동	소계	1153	782	371	1	781	375	399	2	1	2	2
서울특별시	중구	소공동	소공동제1투	540	327	213	1	326	145	178	1	1	0	1
서울특별시	중구	소공동	소공동제2투	613	455	158	0	455	230	221	1	0	2	1
서울특별시	중구	회현동	소계	5262	3204	2058	25	3179	1872	1295	3	3	2	4
서울특별시	중구	회현동	회현동제1투	4043	2520	1523	18	2502	1467	1027	2	3	1	2
서울특별시	중구	회현동	회현동제2투	1219	684	535	7	677	405	268	1	0	1	2
서울특별시	중구	명동	소계	3038	2008	1030	11	1997	1020	969	2	1	3	2
서울특별시	중구	명동	명동제1투	2689	1796	893	9	1787	904	876	2	0	3	2
서울특별시	중구	명동	명동제2투	349	212	137	2	210	116	93	0	1	0	0
서울특별시	중구	필동	소계	3986	2788	1198	20	2768	1421	1333	2	2	7	3
서울특별시	중구	필동	필동제1투	1966	1313	653	10	1303	679	619	1	1	3	0
서울특별시	중구	필동	필동제2투	2020	1475	545	10	1465	742	714	1	1	4	3
서울특별시	중구	장충동	소계	4775	3467	1308	20	3447	1521	1912	1	5	7	1
서울특별시	중구	장충동	장충동제1투	2543	1800	743	10	1790	908	873	1	4	3	1
서울특별시	중구	장충동	장충동제2투	2232	1667	565	10	1657	613	1039	0	1	4	0
서울특별시	중구	광희동	소계	4971	3344	1627	20	3324	1798	1513	3	2	6	2
서울특별시	중구	광희동	광희동제1투	2622	1618	1004	14	1604	845	755	0	0	4	0
서울특별시	중구	광희동	광희동제2투	2349	1726	623	6	1720	953	758	3	2	2	2
서울특별시	중구	을지로동	소계	1796	1127	669	7	1120	669	446	1	1	1	2
서울특별시	중구	을지로동	을지로동제1투	1001	577	424	3	574	377	195	0	1	0	1
서울특별시	중구	을지로동	을지로동제2투	795	550	245	4	546	292	251	1	0	1	1
서울특별시	중구	신당제1동	소계	6661	4533	2128	32	4501	2180	2303	6	2	9	1
서울특별시	중구	신당제1동	신당제1동제1투	3009	1962	1047	15	1947	907	1032	3	1	3	1
서울특별시	중구	신당제1동	신당제1동제2투	745	533	212	3	530	280	248	2	0	0	0
서울특별시	중구	신당제1동	신당제1동제3투	2907	2038	869	14	2024	993	1023	1	1	6	0
서울특별시	중구	신당제2동	소계	13670	9734	3936	61	9673	4347	5296	5	10	8	7
서울특별시	중구	신당제2동	신당제2동제1투	3609	2508	1101	14	2494	1190	1294	1	5	1	3
서울특별시	중구	신당제2동	신당제2동제2투	3421	2473	948	14	2459	1147	1305	1	2	3	1
서울특별시	중구	신당제2동	신당제2동제3투	3366	2368	998	20	2348	981	1359	2	2	2	2
서울특별시	중구	신당제2동	신당제2동제4투	3274	2385	889	13	2372	1029	1338	1	1	2	1
서울특별시	중구	신당제3동	소계	15980	11778	4202	59	11719	5827	5844	10	7	21	10
서울특별시	중구	신당제3동	신당제3동제1투	2390	1573	817	19	1554	822	723	4	0	5	0
서울특별시	중구	신당제3동	신당제3동제2투	2378	1825	553	8	1817	826	982	1	4	2	2
서울특별시	중구	신당제3동	신당제3동제3투	3588	2693	895	8	2685	1443	1232	1	0	6	3
서울특별시	중구	신당제3동	신당제3동제4투	3743	2873	870	9	2864	1469	1391	0	1	2	1
서울특별시	중구	신당제3동	신당제3동제5투	3881	2814	1067	15	2799	1267	1516	4	2	6	4
서울특별시	중구	신당제4동	소계	12780	9809	2971	62	9747	4627	5081	4	7	19	9
서울특별시	중구	신당제4동	신당제4동제1투	1890	1366	524	10	1356	598	750	1	2	3	2
서울특별시	중구	신당제4동	신당제4동제2투	2461	1663	798	9	1654	732	914	1	2	5	0
서울특별시	중구	신당제4동	신당제4동제3투	2637	2200	437	12	2188	1165	1021	0	0	1	1
서울특별시	중구	신당제4동	신당제4동제4투	2472	1963	509	16	1947	829	1109	2	0	5	2
서울특별시	중구	신당제4동	신당제4동제5투	3320	2617	703	15	2602	1303	1287	0	3	5	4
서울특별시	중구	신당제5동	소계	8515	6047	2468	31	6016	2779	3208	4	2	13	10
