광역	광역코드	시군구	시군구코드
서울특별시	1100	종로구	1101
서울특별시	1100	중구	1102
서울특별시	1100	용산구	1103
서울특별시	1100	성동구	1104
서울특별시	1100	광진구	1105
서울특별시	1100	동대문구	1106
서울특별시	1100	중랑구	1107
서울특별시	1100	성북구	1108
서울특별시	1100	강북구	1109
서울특별시	1100	도봉구	1110
서울특별시	1100	노원구	1111
서울특별시	1100	은평구	1112
서울특별시	1100	서대문구	1113
서울특별시	1100	마포구	1114
서울특별시	1100	양천구	1115
서울특별시	1100	강서구	1116
서울특별시	1100	구로구	1117
서울특별시	1100	금천구	1118
서울특별시	1100	영등포구	1119
서울특별시	1100	동작구	1120
서울특별시	1100	관악구	1121
서울특별시	1100	서초구	1122
서울특별시	1100	강남구	1123
서울특별시	1100	송파구	1124
서울특별시	1100	강동구	1125
부산광역시	2600	중구	2601
부산광역시	2600	서구	2602
부산광역시	2600	동구	2603
부산광역시	2600	영도구	2604
부산광역시	2600	부산진구	2605
부산광역시	2600	동래구	2606
부산광역시	2600	남구	2607
부산광역시	2600	북구	2608
부산광역시	2600	해운대구	2609
부산광역시	2600	기장군	2610
부산광역시	2600	사하구	2611
부산광역시	2600	금정구	2612
부산광역시	2600	강서구	2613
부산광역시	2600	연제구	2614
부산광역시	2600	수영구	2615
부산광역시	2600	사상구	2616
대구광역시	2700	중구	2701
대구광역시	2700	동구	2702
대구광역시	2700	서구	2703
대구광역시	2700	남구	2704
대구광역시	2700	북구	2705
대구광역시	2700	수성구	2706
대구광역시	2700	달서구	2707
대구광역시	2700	달성군	2708
인천광역시	2800	중구	2801
인천광역시	2800	동구	2802
인천광역시	2800	남구	2803
인천광역시	2800	연수구	2804
인천광역시	2800	남동구	2805
인천광역시	2800	부평구	2806
인천광역시	2800	계양구	2807
인천광역시	2800	서구	2808
인천광역시	2800	강화군	2809
인천광역시	2800	옹진군	2810
광주광역시	2900	동구	2901
광주광역시	2900	서구	2902
광주광역시	2900	남구	2903
광주광역시	2900	북구	2904
광주광역시	2900	광산구	2905
