광역	시군구	읍면동	종류	선거인수	투표수	기권수	무효표	유효투표수	공화당	새누리당	새정치민주연합	통합진보당	정의당	국제녹색당	노동당	녹색당	새정치당	한나라당
서울특별시	종로구	관외사전투표		7058	7056	2	93	6963	0	2788	3396	207	344	9	73	86	12	48
서울특별시	종로구	거소우편투표		224	210	14	10	200	0	113	65	8	5	0	3	1	1	4
서울특별시	종로구	청운효자동	계	11003	6962	4041	113	6849	0	3114	2861	199	390	9	112	100	8	56
서울특별시	종로구	사직동	계	8044	4850	3194	86	4764	0	2642	1641	102	219	4	64	56	7	29
서울특별시	종로구	삼청동	계	2582	1489	1093	31	1458	0	780	520	43	63	4	8	25	1	14
서울특별시	종로구	부암동	계	8536	5133	3403	75	5058	0	2425	1948	164	304	8	63	81	8	57
서울특별시	종로구	평창동	계	15493	9327	6166	153	9174	0	5182	3146	197	401	11	68	106	9	54
서울특별시	종로구	무악동	계	6539	4181	2358	78	4103	0	1917	1768	101	197	6	44	30	6	34
서울특별시	종로구	교남동	계	4191	2119	2072	52	2067	0	855	984	54	84	2	33	16	6	33
서울특별시	종로구	가회동	계	4201	2535	1666	53	2482	0	1165	981	76	142	2	43	45	5	23
서울특별시	종로구	종로1·2·3·4가동	계	7025	3124	3901	61	3063	0	1606	1219	65	85	4	22	24	4	34
서울특별시	종로구	종로5·6가동	계	4988	2518	2470	62	2456	0	1140	1129	58	55	3	15	14	7	35
서울특별시	종로구	이화동	계	7516	4236	3280	104	4132	0	1526	2141	149	210	4	22	41	7	32
서울특별시	종로구	혜화동	계	14841	9228	5613	187	9041	0	3508	4346	296	607	21	82	102	13	66
서울특별시	종로구	창신제1동	계	5336	2627	2709	61	2566	0	1090	1291	74	47	6	12	8	7	31
서울특별시	종로구	창신제2동	계	8827	4508	4319	130	4378	0	1614	2429	125	102	21	19	17	15	36
서울특별시	종로구	창신제3동	계	6446	3822	2624	63	3759	0	1506	1918	123	137	1	13	15	19	27
서울특별시	종로구	숭인제1동	계	5841	3063	2778	59	3004	0	1246	1514	99	94	7	10	9	5	20
