광역	시군구	읍면동	선거인수	투표수	새누리당	더불어민주당	국민의당	정의당	기독자유당	민주당	코리아	일제.위안부.인권정당	개혁국민신당	고용복지연금선진화연대	공화당	불교당	기독당	노동당	녹색당	민중연합당	복지국가당	친반통일당	통일한국당	한국국민당	한나라당	계	무효투표수	기권수	권역
강원도	강릉시	주문진읍	15375	6966	3989	1100	896	219	143	48	5	5	3	5	4	8	38	56	26	24	3	0	15	6	39	6632	334	8409	제주도/강원도
강원도	강릉시	성산면	2953	1766	910	278	282	67	34	8	1	1	2	0	0	7	9	21	6	5	2	1	1	0	13	1648	118	1187	제주도/강원도
강원도	강릉시	왕산면	1543	920	526	127	133	33	6	3	0	0	1	1	1	1	1	10	3	1	1	0	1	1	7	857	63	623	제주도/강원도
강원도	강릉시	구정면	3428	1921	972	322	272	96	47	20	2	0	1	2	0	5	4	25	8	4	2	0	2	1	20	1805	116	1507	제주도/강원도
강원도	강릉시	강동면	4489	2506	1447	363	271	59	53	10	3	1	0	3	3	1	13	31	8	7	1	1	7	2	35	2319	187	1983	제주도/강원도
강원도	강릉시	옥계면	3558	2002	1114	278	272	56	44	13	4	0	2	2	2	5	14	16	3	4	2	0	4	1	24	1860	142	1556	제주도/강원도
강원도	강릉시	사천면	3973	2288	1112	381	332	91	39	14	1	1	4	2	6	2	12	48	22	8	4	2	2	2	32	2117	171	1685	제주도/강원도
강원도	강릉시	연곡면	5743	3005	1507	591	487	127	47	21	0	0	1	2	0	6	5	28	14	9	1	1	2	3	21	2873	132	2738	제주도/강원도
강원도	강릉시	홍제동	7823	4351	1900	986	797	237	69	36	3	3	2	4	2	4	21	58	19	31	3	1	1	3	21	4201	150	3472	제주도/강원도
강원도	강릉시	중앙동	5594	3024	1573	591	473	129	42	19	3	2	1	1	6	7	7	32	14	10	0	0	3	3	12	2928	96	2570	제주도/강원도
강원도	강릉시	옥천동	3646	1941	1020	364	313	60	17	16	3	4	1	1	1	2	6	13	5	5	1	1	6	4	18	1861	80	1705	제주도/강원도
강원도	강릉시	교1동	21307	11816	4489	2841	2725	746	179	81	14	6	5	5	6	20	46	183	80	50	10	0	7	5	47	11545	271	9491	제주도/강원도
강원도	강릉시	교2동	7410	3942	1880	816	659	205	68	20	2	6	0	3	2	5	18	58	13	7	3	0	5	2	23	3795	147	3468	제주도/강원도
강원도	강릉시	포남1동	9843	5128	2572	971	843	244	106	37	4	3	4	1	4	12	27	68	22	11	3	0	9	5	28	4974	154	4715	제주도/강원도
강원도	강릉시	포남2동	12163	6221	2719	1447	1173	297	99	49	5	7	5	2	4	11	21	88	41	15	4	2	15	2	29	6035	186	5942	제주도/강원도
강원도	강릉시	초당동	4316	2384	915	586	485	181	62	14	2	1	2	2	0	3	10	33	15	12	1	0	3	2	4	2333	51	1932	제주도/강원도
강원도	강릉시	송정동	5599	3092	1275	753	619	182	58	17	3	4	3	2	2	6	11	42	18	5	2	0	4	1	13	3020	72	2507	제주도/강원도
