광역	시군구	읍면동	투표소	선거인수	투표인수	기권수	무효표	계	더불어민주당	자유한국당	국민의당	바른정당	정의당	새누리당	경제애국당	국민대통합당	늘푸른한국당	민중연합당	한국국민당	혹익당	무소속
서울특별시	종로구	거소·선상투표	거소·선상투표	218	206	12	5	201	64	42	65	8	15	0	1	3	1	0	0	0	2
서울특별시	종로구	관외사전투표	관외사전투표	12803	12803	0	67	12736	5842	2025	2509	1156	1145	17	0	4	2	15	6	9	6
서울특별시	종로구	재외투표	재외투표	2490	1813	677	8	1805	987	215	304	75	214	8	0	1	0	1	0	0	0
서울특별시	종로구	청운효자동	소계	9378	7295	2083	22	7273	3109	1677	1438	475	531	13	0	11	1	6	1	5	6
서울특별시	종로구	사직동	소계	7613	5788	1825	18	5770	2146	1617	1161	455	366	8	0	11	0	1	0	2	3
서울특별시	종로구	삼청동	소계	2271	1654	617	4	1650	617	456	316	113	131	11	0	1	2	1	2	0	0
서울특별시	종로구	부암동	소계	7702	5916	1786	12	5904	2354	1502	1139	429	441	25	0	1	1	5	2	5	0
서울특별시	종로구	평창동	소계	14118	10881	3237	37	10844	3762	3362	2087	917	659	33	0	6	2	3	2	8	3
서울특별시	종로구	무악동	소계	6002	4796	1206	23	4773	1953	1047	1098	366	291	9	0	3	3	1	1	1	0
서울특별시	종로구	교남동	소계	5e3	3743	1257	5	3738	1507	802	939	258	212	9	0	2	4	2	0	0	3
서울특별시	종로구	가회동	소계	3769	2902	867	9	2893	1219	722	579	170	182	9	0	2	1	4	0	3	2
서울특별시	종로구	종로1·2·3·4가동	소계	6210	3684	2526	11	3673	1311	1100	838	228	181	10	0	3	1	0	1	0	0
서울특별시	종로구	종로5·6가동	소계	4531	3110	1421	9	3101	1132	795	811	199	146	3	1	1	4	5	0	2	2
서울특별시	종로구	이화동	소계	6783	5100	1683	16	5084	2335	921	1077	364	366	9	0	3	1	1	1	1	5
서울특별시	종로구	혜화동	소계	13606	10704	2902	32	10672	4653	1928	2082	980	984	20	0	4	4	7	2	6	2
서울특별시	종로구	창신제1동	소계	4619	3089	1530	12	3077	1300	638	843	138	139	11	0	2	1	2	1	0	2
서울특별시	종로구	창신제2동	소계	7768	5508	2260	27	5481	2330	981	1596	257	290	13	1	6	0	1	1	2	3
서울특별시	종로구	창신제3동	소계	5804	4489	1315	14	4475	1934	804	1129	305	283	5	1	4	1	2	2	1	4
서울특별시	종로구	숭인제1동	소계	5259	3746	1513	15	3731	1580	724	1004	214	191	8	0	4	0	0	2	1	3
서울특별시	종로구	숭인제2동	소계	7825	5339	2486	18	5321	2377	967	1298	305	346	7	1	6	2	6	2	1	3
서울특별시	중구	거소·선상투표	거소·선상투표	174	157	17	3	154	60	34	48	8	3	0	0	0	0	0	0	0	1
서울특별시	중구	관외사전투표	관외사전투표	10177	10173	4	31	10142	4848	1596	2093	809	757	13	2	1	0	9	3	4	7
서울특별시	중구	재외투표	재외투표	1715	1156	559	1	1155	633	164	189	35	116	15	0	0	1	2	0	0	0
서울특별시	중구	소공동	소계	1461	1084	377	3	1081	442	240	233	99	61	2	0	0	0	0	1	2	1
서울특별시	중구	회현동	소계	4404	2595	1809	13	2582	809	824	642	173	114	6	3	6	1	0	0	1	3
서울특별시	중구	명동	소계	2247	1483	764	2	1481	537	452	299	109	79	1	1	1	1	0	0	0	1
서울특별시	중구	필동	소계	3661	2708	953	11	2697	1051	685	571	193	182	2	0	4	1	4	1	1	2
서울특별시	중구	장충동	소계	3879	2912	967	7	2905	1230	605	610	226	218	7	0	1	2	4	0	2	0
