광역	시군구	읍면동	투표소	선거인수	투표인수	기권수	무효표	계	더불어민주당	자유한국당	국민의당	바른정당	정의당	새누리당	경제애국당	국민대통합당	늘푸른한국당	민중연합당	한국국민당	혹익당	무소속
서울특별시	종로구	관외사전투표	관외사전투표	12803	12803	0	67	12736	5842	2025	2509	1156	1145	17	0	4	2	15	6	9	6
서울특별시	종로구	재외투표	재외투표	2490	1813	677	8	1805	987	215	304	75	214	8	0	1	0	1	0	0	0
서울특별시	종로구	청운효자동	관내사전투표	1784	1784	0	3	1781	819	331	352	120	149	1	0	3	0	3	0	1	2
서울특별시	종로구	사직동	관내사전투표	2008	2008	0	5	2003	890	447	359	134	162	1	0	9	0	0	0	0	1
서울특별시	종로구	삼청동	관내사전투표	421	421	0	2	419	189	97	65	23	43	1	0	0	0	1	0	0	0
서울특별시	종로구	부암동	관내사전투표	1474	1474	0	2	1472	676	309	235	106	139	4	0	0	1	1	1	0	0
서울특별시	종로구	평창동	관내사전투표	2949	2949	0	9	2940	1154	824	533	232	184	7	0	1	0	1	1	2	1
서울특별시	종로구	무악동	관내사전투표	1390	1390	0	11	1379	625	254	308	105	81	3	0	0	1	1	1	0	0
서울특별시	종로구	교남동	관내사전투표	1060	1060	0	1	1059	469	191	256	71	69	2	0	0	0	1	0	0	0
서울특별시	종로구	가회동	관내사전투표	937	937	0	5	932	436	189	169	60	76	1	0	0	0	1	0	0	0
서울특별시	종로구	종로1·2·3·4가동	관내사전투표	902	902	0	1	901	398	185	189	63	63	1	0	2	0	0	0	0	0
서울특별시	종로구	종로5·6가동	관내사전투표	861	861	0	1	860	334	220	200	56	46	2	0	0	2	0	0	0	0
서울특별시	종로구	이화동	관내사전투표	1456	1456	0	6	1450	710	218	274	99	142	2	0	2	0	1	0	0	2
서울특별시	종로구	혜화동	관내사전투표	3448	3448	0	7	3441	1678	475	568	330	382	3	0	1	0	3	0	0	1
서울특별시	종로구	창신제1동	관내사전투표	502	502	0	1	501	230	100	128	22	18	2	0	0	0	0	0	0	1
서울특별시	종로구	창신제2동	관내사전투표	1172	1172	0	9	1163	561	169	307	51	70	3	0	0	0	0	0	1	1
서울특별시	종로구	창신제3동	관내사전투표	1123	1123	0	2	1121	544	165	248	58	100	2	1	0	0	1	2	0	0
서울특별시	종로구	숭인제1동	관내사전투표	975	975	0	2	973	449	157	248	52	64	0	0	1	0	0	1	1	0
서울특별시	종로구	숭인제2동	관내사전투표	1339	1339	0	6	1333	669	206	284	84	84	3	0	0	0	1	1	0	1
서울특별시	중구	관외사전투표	관외사전투표	10177	10173	4	31	10142	4848	1596	2093	809	757	13	2	1	0	9	3	4	7
서울특별시	중구	재외투표	재외투표	1715	1156	559	1	1155	633	164	189	35	116	15	0	0	1	2	0	0	0
서울특별시	중구	소공동	관내사전투표	266	266	0	1	265	130	46	54	22	12	1	0	0	0	0	0	0	0
서울특별시	중구	회현동	관내사전투표	687	687	0	0	687	279	181	145	41	34	1	3	2	0	0	0	1	0
서울특별시	중구	명동	관내사전투표	483	483	0	1	482	200	125	103	29	25	0	0	0	0	0	0	0	0
서울특별시	중구	필동	관내사전투표	1106	1106	0	6	1100	496	215	224	72	86	0	0	2	1	3	1	0	0
서울특별시	중구	장충동	관내사전투표	866	866	0	1	865	383	167	167	66	79	2	0	0	0	1	0	0	0
서울특별시	중구	광희동	관내사전투표	483	483	0	3	480	211	99	112	28	27	1	0	2	0	0	0	0	0
서울특별시	중구	을지로동	관내사전투표	302	302	0	1	301	124	97	54	8	16	0	0	0	1	0	1	0	0
서울특별시	중구	신당동	관내사전투표	1510	1510	0	4	1506	729	268	300	103	102	1	0	0	0	1	1	0	1
서울특별시	중구	다산동	관내사전투표	1642	1642	0	7	1635	695	331	363	103	135	4	1	0	0	2	1	0	0
서울특별시	중구	약수동	관내사전투표	2585	2585	0	6	2579	1131	521	553	192	169	6	1	1	0	3	1	0	1
서울특별시	중구	청구동	관내사전투표	1537	1537	0	4	1533	729	248	333	108	109	3	0	0	1	0	2	0	0
서울특별시	중구	신당제5동	관내사전투표	1571	1571	0	4	1567	691	322	377	91	77	4	0	1	0	3	0	0	1
서울특별시	중구	동화동	관내사전투표	1688	1688	0	5	1683	765	327	357	116	117	0	0	0	0	1	0	0	0
서울특별시	중구	황학동	관내사전투표	1362	1362	0	3	1359	634	250	307	82	83	1	0	1	0	0	0	0	1
서울특별시	중구	중림동	관내사전투표	1322	1322	0	3	1319	571	289	277	90	87	0	0	1	1	1	1	0	1
서울특별시	용산구	관외사전투표	관외사전투표	18318	18288	30	81	18207	8077	3320	3690	1531	1493	35	3	5	3	20	4	7	19
서울특별시	용산구	재외투표	재외투표	3497	2547	950	15	2532	1277	351	443	144	289	23	0	1	0	1	1	1	1
서울특별시	용산구	후암동	관내사전투표	2845	2845	0	12	2833	1345	552	528	187	203	8	0	1	1	1	1	1	5
서울특별시	용산구	용산2가동	관내사전투표	1675	1675	0	5	1670	775	331	329	82	151	0	0	1	0	0	1	0	0
서울특별시	용산구	남영동	관내사전투표	1607	1607	0	5	1602	690	333	318	118	135	5	0	2	0	0	0	1	0
서울특별시	용산구	청파동	관내사전투표	2225	2225	0	6	2219	1173	316	350	154	216	6	0	0	0	3	0	0	1
서울특별시	용산구	원효로제1동	관내사전투표	2228	2228	0	8	2220	1092	369	393	197	163	1	1	1	0	3	0	0	0
서울특별시	용산구	원효로제2동	관내사전투표	2004	2004	0	6	1998	973	357	349	163	151	0	0	1	0	1	0	2	1
서울특별시	용산구	효창동	관내사전투표	1722	1722	0	3	1719	812	298	342	133	129	3	0	0	1	1	0	0	0
서울특별시	용산구	용문동	관내사전투표	2088	2088	0	9	2079	996	358	423	162	134	1	0	1	1	2	0	1	0
서울특별시	용산구	한강로동	관내사전투표	1943	1943	0	3	1940	832	412	416	144	131	1	0	2	1	1	0	0	0
서울특별시	용산구	이촌제1동	관내사전투표	4560	4560	0	10	4550	1616	1281	887	523	235	5	0	0	1	1	0	1	0
서울특별시	용산구	이촌제2동	관내사전투표	1293	1293	0	10	1283	533	281	292	99	74	3	0	0	0	0	1	0	0
서울특별시	용산구	이태원제1동	관내사전투표	1114	1114	0	2	1112	443	245	208	87	122	4	0	1	0	0	1	0	1
서울특별시	용산구	이태원제2동	관내사전투표	1330	1330	0	3	1327	616	273	229	91	113	1	0	0	0	0	0	1	3
서울특별시	용산구	한남동	관내사전투표	2347	2347	0	8	2339	1047	466	425	191	194	9	1	0	1	2	1	2	0
서울특별시	용산구	서빙고동	관내사전투표	1418	1418	0	8	1410	502	431	299	95	79	3	0	0	0	0	0	0	1
서울특별시	용산구	보광동	관내사전투표	2475	2475	0	10	2465	1021	513	518	173	229	3	0	2	1	2	1	1	1
서울특별시	성동구	관외사전투표	관외사전투표	23632	23616	16	101	23515	11080	3532	4912	2033	1859	33	3	9	5	12	10	5	22
서울특별시	성동구	재외투표	재외투표	3007	2309	698	9	2300	1314	183	378	111	296	10	0	1	1	1	1	2	2
서울특별시	성동구	금호1가동	관내사전투표	1569	1569	0	5	1564	717	287	348	93	112	3	0	0	0	2	0	1	1
서울특별시	성동구	금호2·3가동	관내사전투표	3289	3289	0	13	3276	1538	537	737	248	202	7	1	2	0	1	0	2	1
서울특별시	성동구	금호4가동	관내사전투표	2502	2502	0	5	2497	1110	469	547	218	135	4	0	2	1	0	3	4	4
서울특별시	성동구	옥수동	관내사전투표	3619	3619	0	8	3611	1562	708	733	359	239	2	0	1	1	2	1	1	2
서울특별시	성동구	응봉동	관내사전투표	3164	3164	0	4	3160	1475	586	645	242	205	4	1	0	0	1	1	0	0
서울특별시	성동구	성수1가제1동	관내사전투표	2385	2385	0	12	2373	1165	399	461	167	169	3	0	2	1	4	0	0	2
서울특별시	성동구	성수1가제2동	관내사전투표	2374	2373	1	6	2367	1221	378	408	186	165	1	0	1	0	6	0	0	1
서울특별시	성동구	성수2가제1동	관내사전투표	3258	3258	0	9	3249	1510	646	686	184	206	6	0	2	1	4	1	0	3
서울특별시	성동구	성수2가제3동	관내사전투표	2114	2114	0	6	2108	958	424	421	149	155	0	0	0	0	0	1	0	0
서울특별시	성동구	왕십리도선동	관내사전투표	3522	3522	0	5	3517	1733	526	720	307	224	3	0	1	0	1	1	1	0
서울특별시	성동구	왕십리제2동	관내사전투표	2396	2396	0	7	2389	1181	347	488	150	216	2	0	0	0	1	1	1	2
서울특별시	성동구	행당제1동	관내사전투표	2991	2991	0	11	2980	1409	514	572	242	230	5	0	2	0	1	2	0	3
서울특별시	성동구	행당제2동	관내사전투표	3487	3486	1	10	3476	1748	545	658	270	242	10	0	0	0	1	1	0	1
서울특별시	성동구	마장동	관내사전투표	2795	2795	0	8	2787	1403	466	580	165	165	4	0	1	0	1	1	1	0
서울특별시	성동구	사근동	관내사전투표	1685	1685	0	2	1683	766	205	343	204	161	0	0	2	1	0	0	0	1
서울특별시	성동구	송정동	관내사전투표	1430	1430	0	7	1423	689	278	286	74	89	3	0	3	0	0	0	0	1
서울특별시	성동구	용답동	관내사전투표	2143	2143	0	11	2132	1060	362	442	112	148	1	0	3	1	3	0	0	0
서울특별시	광진구	관외사전투표	관외사전투표	27805	27803	2	141	27662	13607	3918	5565	2084	2362	44	6	9	6	17	7	8	29
서울특별시	광진구	재외투표	재외투표	3250	2494	756	6	2488	1472	208	398	107	288	9	0	1	0	4	0	1	0
서울특별시	광진구	중곡제1동	관내사전투표	2062	2062	0	12	2050	970	349	447	121	159	0	0	1	1	1	0	0	1
서울특별시	광진구	중곡제2동	관내사전투표	3331	3331	0	6	3325	1671	561	637	200	249	3	1	2	0	0	0	0	1
서울특별시	광진구	중곡제3동	관내사전투표	2241	2241	0	6	2235	1082	420	428	120	176	4	1	1	0	1	2	0	0
서울특별시	광진구	중곡제4동	관내사전투표	4211	4211	0	13	4198	1948	825	886	251	277	5	0	0	1	2	2	0	1
서울특별시	광진구	능동	관내사전투표	2093	2093	0	3	2090	1105	278	377	139	187	1	0	0	0	1	0	0	2
서울특별시	광진구	구의제1동	관내사전투표	3907	3907	0	14	3893	2020	556	757	262	284	5	0	2	3	2	0	1	1
서울특별시	광진구	구의제2동	관내사전투표	3193	3193	0	8	3185	1629	558	586	194	201	5	0	1	3	4	3	1	0
서울특별시	광진구	구의제3동	관내사전투표	4839	4839	0	9	4830	2403	801	844	422	350	5	0	0	1	0	0	2	2
서울특별시	광진구	광장동	관내사전투표	3991	3991	0	12	3979	1774	790	786	377	240	6	0	1	1	2	0	1	1
서울특별시	광진구	자양제1동	관내사전투표	3929	3929	0	11	3918	1913	646	832	215	295	3	1	4	0	6	1	1	1
서울특별시	광진구	자양제2동	관내사전투표	3016	3016	0	5	3011	1482	535	584	187	214	4	0	2	1	1	1	0	0
