광역	시군구	읍면동	투표소	선거인수	투표인수	기권수	무효표	계	더불어민주당	자유한국당	국민의당	바른정당	정의당	새누리당	경제애국당	국민대통합당	늘푸른한국당	민중연합당	한국국민당	혹익당	무소속
서울특별시	종로구	합계	합계	133769	102566	31203	364	102202	42512	22325	22313	7412	7113	228	5	78	31	63	26	47	49
서울특별시	중구	합계	합계	109836	82852	26984	257	82595	34062	17901	19372	5874	4993	158	12	53	21	55	18	25	51
서울특별시	용산구	합계	합계	197962	148157	49805	497	147660	58081	35230	32109	11825	9773	299	17	68	23	72	32	51	80
서울특별시	성동구	합계	합계	259009	203175	55834	663	202512	86686	40566	45674	15859	12936	304	16	94	46	108	41	58	124
서울특별시	광진구	합계	합계	305172	240030	65142	799	239231	105512	46368	52824	17114	16540	312	24	120	48	127	48	65	129
서울특별시	동대문구	합계	합계	304972	236092	68880	827	235265	98958	51631	53359	15129	15107	360	41	150	44	160	80	84	162
서울특별시	중랑구	합계	합계	351986	265706	86280	962	264744	111450	56545	62778	15996	16817	373	34	155	74	152	65	90	215
서울특별시	성북구	합계	합계	378024	295866	82158	944	294922	129263	57584	66518	19830	20519	407	34	190	55	172	65	107	178
서울특별시	강북구	합계	합계	281434	210614	70820	712	209902	89645	42268	51669	11871	13482	324	34	145	45	123	53	93	150
서울특별시	도봉구	합계	합계	293679	229233	64446	851	228382	94898	47461	55600	14500	14923	352	30	162	43	152	38	79	144
서울특별시	노원구	합계	합계	464422	374213	90209	1306	372907	158167	67590	96325	24846	24498	548	37	168	85	210	81	120	232
서울특별시	은평구	합계	합계	413086	317275	95811	1160	316115	140180	60109	72582	19447	21955	432	49	188	656	160	61	115	181
서울특별시	서대문구	합계	합계	268987	212076	56911	717	211359	93768	40513	46237	14798	15165	336	25	110	72	119	27	64	125
서울특별시	마포구	합계	합계	320483	256992	63491	759	256233	117336	46547	52545	19059	19795	381	26	134	38	108	47	86	131
서울특별시	양천구	합계	합계	386393	310886	75507	946	309940	133853	60814	71816	22987	19309	422	32	194	60	121	61	88	183
서울특별시	구로구	합계	합계	350524	278805	71719	1091	277714	121077	59194	61734	17147	17437	373	45	141	57	165	56	98	190
서울특별시	강서구	합계	합계	501800	397108	104692	1301	395807	175882	76601	88128	27544	26001	569	56	248	77	215	60	142	284
서울특별시	금천구	합계	합계	204132	155010	49122	557	154453	67423	31106	36695	8835	9698	165	24	125	37	117	39	61	128
서울특별시	영등포구	합계	합계	316011	248833	67178	816	248017	105834	53615	53994	18122	15439	374	37	138	50	122	52	86	154
서울특별시	동작구	합계	합계	342434	276685	65749	857	275828	121722	54431	60305	20593	17781	384	25	145	40	133	42	81	146
서울특별시	관악구	합계	합계	446035	351240	94795	1235	350005	159854	59914	79495	23857	25300	549	58	197	79	293	73	113	223
서울특별시	서초구	합계	합계	362519	292916	69603	824	292092	106416	74891	63977	29231	16562	520	28	96	55	93	28	84	111
서울특별시	강남구	합계	합계	467032	365642	101390	1048	364594	128927	97639	80201	36176	20287	714	39	121	80	97	49	101	163
부산광역시	중구	합계	합계	40448	28604	11844	95	28509	9918	10684	4675	1845	1274	47	4	11	3	14	7	9	18
서울특별시	송파구	합계	합계	546867	441198	105669	1271	439927	177328	98549	99018	37438	26064	657	32	166	68	156	79	151	221
서울특별시	강동구	합계	합계	376431	297476	78955	965	296511	122511	65893	67499	21483	17965	446	29	168	54	123	56	88	196
부산광역시	서구	합계	합계	98536	71446	27090	298	71148	24522	26360	11868	4913	3131	77	8	70	14	32	25	51	77
부산광역시	동구	합계	합계	79720	58304	21416	222	58082	19606	22188	9815	3606	2589	65	14	47	19	21	19	31	62
부산광역시	영도구	합계	합계	109885	78013	31872	354	77659	30094	25345	13082	5375	3416	78	9	51	21	46	15	45	82
부산광역시	부산진구	합계	합계	323551	246124	77427	971	245153	95042	79545	40636	16855	12045	309	25	146	45	121	49	111	224
부산광역시	동래구	합계	합계	229464	181098	48366	629	180469	67947	59616	30208	13211	8812	196	25	82	26	80	32	65	169
부산광역시	남구	합계	합계	233838	181922	51916	717	181205	68566	59137	30943	13029	8780	226	27	98	32	72	29	92	174
부산광역시	북구	합계	합계	258693	203689	55004	893	202796	83611	61175	32712	14567	9862	213	24	124	48	93	39	95	233
부산광역시	기장군	합계	합계	124123	94393	29730	343	94050	39412	26556	15909	6775	4988	107	17	54	16	43	20	58	95
부산광역시	해운대구	합계	합계	344624	266870	77754	918	265952	102106	80904	48325	20918	12573	428	31	124	53	99	51	115	225
부산광역시	사하구	합계	합계	280843	211876	68967	949	210927	82452	65252	36713	14958	10664	225	25	138	66	71	63	85	215
