광역	광역코드	시군구	시군구코드	읍면동명	구분	선거인수	투표수	유효투표수	무효투표수	기권수	녹색당	대한애국당	더불어민주당	무소속	민주평화당	민중당	바른미래당	우리미래	자유한국당	정의당	친박연대	코리아
서울특별시	1100	종로구	1101	합계		134963	81195	80091	1104	53768	1896	223	41148	0	0	358	15946	215	18777	1469	59	0
서울특별시	1100	종로구	1101	거소투표		145	138	133	5	7	2	0	62	0	0	2	36	0	28	2	1	0
서울특별시	1100	종로구	1101	관외사전투표		8516	8506	8412	94	10	218	17	4950	0	0	38	1533	38	1419	191	8	0
서울특별시	1100	종로구	1101	청운효자동	계	9719	6057	5980	77	3662	188	25	3025	0	0	21	1167	16	1420	116	2	0
서울특별시	1100	종로구	1101	청운효자동	관내사전투표	1618	1618	1604	14	0	44	3	900	0	0	7	293	1	315	40	1	0
서울특별시	1100	종로구	1101	청운효자동	선거일투표	8101	4439	4376	63	3662	144	22	2125	0	0	14	874	15	1105	76	1	0
서울특별시	1100	종로구	1101	사직동	계	8106	4972	4926	46	3134	128	10	2097	0	0	19	1116	8	1453	92	3	0
서울특별시	1100	종로구	1101	사직동	관내사전투표	1831	1831	1819	12	0	41	2	970	0	0	6	342	0	418	38	2	0
서울특별시	1100	종로구	1101	사직동	선거일투표	6275	3141	3107	34	3134	87	8	1127	0	0	13	774	8	1035	54	1	0
서울특별시	1100	종로구	1101	삼청동	계	2307	1284	1274	10	1023	39	3	583	0	0	1	249	2	376	19	2	0
서울특별시	1100	종로구	1101	삼청동	관내사전투표	360	360	358	2	0	10	0	200	0	0	0	55	0	81	12	0	0
서울특별시	1100	종로구	1101	삼청동	선거일투표	1947	924	916	8	1023	29	3	383	0	0	1	194	2	295	7	2	0
서울특별시	1100	종로구	1101	부암동	계	7997	4780	4713	67	3217	126	18	2277	0	0	24	915	9	1255	88	1	0
서울특별시	1100	종로구	1101	부암동	관내사전투표	1196	1195	1176	19	1	31	2	676	0	0	9	173	2	256	26	1	0
