광역	광역코드	시군구	시군구코드	읍면동명	구분	선거인수	투표수	유효투표수	무효투표수	기권수	국제녹색당	노동당	녹색당	대한애국당	더불어민주당	민주평화당	민중당	바른미래당	새누리당	우리미래	자유한국당	정의당	친박연대
서울특별시	1100	종로구	1101	합계	NA	134963	81162	80080	1082	53801	55	0	1055	320	38936	735	267	9510	0	147	20237	8702	116
서울특별시	1100	종로구	1101	거소투표	NA	145	138	132	6	7	0	0	1	1	69	5	1	19	0	0	28	7	1
서울특별시	1100	종로구	1101	관외사전투표	NA	8516	8510	8409	101	6	7	0	118	26	4662	70	29	959	0	22	1503	1002	11
서울특별시	1100	종로구	1101	청운효자동	계	9719	6058	5984	74	3661	5	0	114	31	2749	54	29	703	0	12	1494	785	8
서울특별시	1100	종로구	1101	청운효자동	관내사전투표	1618	1618	1594	24	0	1	0	28	4	761	14	8	189	0	1	317	269	2
서울특별시	1100	종로구	1101	청운효자동	선거일투표	8101	4440	4390	50	3661	4	0	86	27	1988	40	21	514	0	11	1177	516	6
서울특별시	1100	종로구	1101	사직동	계	8106	4964	4913	51	3142	6	0	86	14	1860	30	10	670	0	6	1604	622	5
서울특별시	1100	종로구	1101	사직동	관내사전투표	1831	1831	1815	16	0	0	0	29	3	828	12	4	192	0	0	468	277	2
서울특별시	1100	종로구	1101	사직동	선거일투표	6275	3133	3098	35	3142	6	0	57	11	1032	18	6	478	0	6	1136	345	3
서울특별시	1100	종로구	1101	삼청동	계	2307	1282	1266	16	1025	0	0	21	3	513	8	3	150	0	2	398	167	1
서울특별시	1100	종로구	1101	삼청동	관내사전투표	360	360	355	5	0	0	0	7	0	166	2	0	30	0	0	85	65	0
서울특별시	1100	종로구	1101	삼청동	선거일투표	1947	922	911	11	1025	0	0	14	3	347	6	3	120	0	2	313	102	1
서울특별시	1100	종로구	1101	부암동	계	7997	4781	4720	61	3216	2	0	88	18	1997	31	30	505	0	11	1367	664	7
서울특별시	1100	종로구	1101	부암동	관내사전투표	1196	1196	1185	11	0	0	0	22	2	531	7	12	122	0	3	276	206	4
서울특별시	1100	종로구	1101	부암동	선거일투표	6801	3585	3535	50	3216	2	0	66	16	1466	24	18	383	0	8	1091	458	3
서울특별시	1100	종로구	1101	평창동	계	15012	8822	8737	85	6190	5	0	138	29	3366	43	20	1102	0	11	3044	971	8
서울특별시	1100	종로구	1101	평창동	관내사전투표	2305	2305	2290	15	0	1	0	46	5	1002	14	6	229	0	1	670	312	4
